Game,Date,Opponent,Result,Raiders points,Opponents,First Downs,Record,Streak,Attendance
1.0,Sept 20,at Cincinnati Bengals,Loss,21.0,31.0,13.0,0–1,Lost 1,56616.0
2.0,Sept 27,at San Diego Chargers,Tie,27.0,27.0,23.0,0–1–1,Tied 1,42109.0
3.0,Oct 3,at Miami Dolphins,Loss,13.0,20.0,14.0,0–2–1,Lost 1,57140.0
4.0,Oct 11,Denver Broncos,Win,35.0,23.0,25.0,1–2–1,Won 1,54436.0
5.0,Oct 19,Washington Redskins,Win,34.0,20.0,25.0,2–2–1,Won 2,54471.0
6.0,Oct 25,Pittsburgh Steelers,Win,31.0,14.0,15.0,3–2–1,Won 3,54423.0
7.0,Nov 1,Kansas City Chiefs,Tie,17.0,17.0,22.0,3–2–2,Tie 1,51334.0
8.0,Nov 8,Cleveland Browns,Win,23.0,20.0,21.0,4–2–2,Won 1,54463.0
9.0,Nov 15,Denver Broncos,Win,24.0,19.0,16.0,5–2–2,Won 2,50959.0
10.0,Nov 22,San Diego Chargers,Win,20.0,17.0,22.0,6–2–2,Won 3,54594.0
11.0,Nov 26,at Detroit Lions,Loss,14.0,28.0,18.0,6–3–2,Lost 1,56597.0
12.0,Dec 6,at New York Jets,Win,14.0,13.0,16.0,7–3–2,Won 1,62905.0
13.0,Dec 12,Kansas City Chiefs,Win,20.0,6.0,23.0,8–3–2,Won 2,54596.0
14.0,Dec 20,San Francisco 49ers,Loss,7.0,38.0,17.0,8–4–2,Lost 1,54535.0
