Game,Date,Venue,Opponent,Result F–A,Attendance
1.0,17 August 2002,A,Southampton,0–0,28341.0
2.0,24 August 2002,H,Fulham,2–2,28588.0
3.0,31 August 2002,H,Blackburn Rovers,1–0,28270.0
4.0,3 September 2002,A,Manchester United,0–1,67464.0
5.0,10 September 2002,H,Sunderland,3–0,32155.0
6.0,14 September 2002,A,Everton,1–2,32240.0
7.0,21 September 2002,H,Birmingham City,1–0,29869.0
8.0,28 September 2002,A,Tottenham Hotspur,3–0,36082.0
9.0,5 October 2002,H,Bolton Wanderers,2–0,31005.0
10.0,20 October 2002,A,Charlton Athletic,0–1,26271.0
11.0,26 October 2002,H,Leeds United,2–2,34723.0
12.0,4 November 2002,A,Newcastle United,0–2,51558.0
13.0,9 November 2002,H,Liverpool,1–0,34747.0
14.0,16 November 2002,A,Chelsea,0–1,39064.0
15.0,23 November 2002,H,Manchester City,3–1,31510.0
16.0,30 November 2002,A,West Bromwich Albion,0–1,27029.0
17.0,7 December 2002,H,West Ham United,2–2,28283.0
18.0,14 December 2002,H,Chelsea,1–1,29160.0
19.0,21 December 2002,A,Arsenal,0–2,38003.0
20.0,26 December 2002,H,Manchester United,3–1,34673.0
21.0,28 December 2002,A,Aston Villa,0–1,33637.0
22.0,1 January 2003,A,Blackburn Rovers,0–1,23413.0
23.0,11 January 2003,H,Southampton,2–2,27443.0
24.0,19 January 2003,A,Fulham,0–1,14253.0
25.0,28 January 2003,H,Aston Villa,2–5,27546.0
26.0,8 February 2003,A,Liverpool,1–1,42247.0
27.0,22 February 2003,A,Sunderland,3–1,42134.0
28.0,1 March 2003,H,Everton,1–1,32473.0
29.0,5 March 2003,H,Newcastle United,1–0,34814.0
30.0,15 March 2003,A,Leeds United,3–2,39073.0
31.0,22 March 2003,H,Charlton Athletic,1–1,29080.0
32.0,5 April 2003,H,West Bromwich Albion,3–0,30187.0
33.0,12 April 2003,A,Manchester City,0–0,34793.0
34.0,19 April 2003,H,Arsenal,0–2,34724.0
35.0,21 April 2003,A,West Ham United,0–1,35019.0
36.0,26 April 2003,A,Birmingham City,0–3,28821.0
37.0,3 May 2003,H,Tottenham Hotspur,5–1,30230.0
38.0,11 May 2003,A,Bolton Wanderers,1–2,27241.0
