Name,Number,Position,Weight*,Year,Hometown
"Davis, Bryan",0.0,F/C,250.0,So.-1L,"Dallas, Texas"
"Lewis, Derreck",2.0,G,197.0,Fr.,"Tulsa, Oklahoma"
"Roland, Derrick",3.0,G,190.0,So.-1L,"Dallas, Texas"
"Graham, Bryson",5.0,G,190.0,spm Jr.-1L,"San Antonio, Texas"
"Bowles, Denzel",10.0,F/C,250.0,Fr.-HS,"Virginia Beach, Virginia"
"Holmes, B.J.",11.0,G,175.0,Fr.-HS,"Houston, Texas"
"Jordan, DeAndre",12.0,C,255.0,Fr.-HS,"Houston, Texas"
"Darko, Andrew",14.0,G,165.0,Fr.,"Conroe, Texas"
"Sloan, Donald",15.0,G,205.0,So.-1L,"Dallas, Texas"
"Kirk, Dominique",22.0,G,185.0,Sr.-3L,"Dallas, Texas"
"Carter, Josh",23.0,F,200.0,sp Jr.-2L,"Dallas, Texas"
"Schepel, Shawn",24.0,G,200.0,Fr.,"Dallas, Texas"
"Jones, Joseph",30.0,F,255.0,Sr.-3L,"Normangee, Texas"
"Chapman, Chris",31.0,G,170.0,So.,"Houston, Texas"
"Muhlbach, Beau",32.0,G/F,205.0,Sr.-2L,"Lufkin, Texas"
"Elonu, Chinemelu",41.0,F/C,235.0,So.-1L,"Houston, Texas"
"Walkup, Nathan",45.0,F,195.0,Fr.-HS,"Houston, Texas"
"Carrell, Marshall",50.0,F,200.0,Fr.,"Paris, Texas"
