Driver,Constructor,Laps,Time/Retired,Grid
Michael Schumacher,Ferrari,53.0,1:29:48.446,2.0
Heinz-Harald Frentzen,Williams - Renault,53.0,+1.378,6.0
Eddie Irvine,Ferrari,53.0,+26.384,3.0
Mika Häkkinen,McLaren - Mercedes,53.0,+27.129,4.0
Jean Alesi,Benetton - Renault,53.0,+40.403,7.0
Johnny Herbert,Sauber - Petronas,53.0,+41.630,8.0
Giancarlo Fisichella,Jordan - Peugeot,53.0,+56.825,9.0
Gerhard Berger,Benetton - Renault,53.0,+1:00.429,5.0
Ralf Schumacher,Jordan - Peugeot,53.0,+1:22.036,13.0
David Coulthard,McLaren - Mercedes,52.0,Engine,11.0
Damon Hill,Arrows - Yamaha,52.0,+1 lap,17.0
Pedro Diniz,Arrows - Yamaha,52.0,+1 lap,16.0
Jos Verstappen,Tyrrell - Ford,52.0,+1 lap,21.0
Jacques Villeneuve,Williams - Renault,53.0,Disqualified,1.0
Tarso Marques,Minardi - Hart,46.0,Gearbox,20.0
Mika Salo,Tyrrell - Ford,46.0,Engine,22.0
Olivier Panis,Prost - Mugen-Honda,36.0,Engine,10.0
Shinji Nakano,Prost - Mugen-Honda,22.0,Wheel bearing,15.0
Ukyo Katayama,Minardi - Hart,8.0,Engine,19.0
Rubens Barrichello,Stewart - Ford,6.0,Spun off,12.0
Jan Magnussen,Stewart - Ford,3.0,Spun off,14.0
Gianni Morbidelli,Sauber - Petronas,0.0,Injury,18.0
