Total,Builder,Model,Year built,Numbers
1.0,GMDD,TC40-102N,1986.0,8790
2.0,MCI,TC40-102N,1988.0,"8870, 8893"
8.0,BIA,Orion 06.501,1998.0,9803-9810
5.0,NFI,D40LF,2003.0,0313-0317
6.0,NFI,D40LF,2005.0,"0519, 0620-0624"
2.0,Ford Eldorado,E-450 Aerotech,2006.0,"0626, 0627"
2.0,NFI,D40LF,2007.0,"0728, 0729"
1.0,Ford,E-450 Crestline body,2008.0,0830
1.0,International,LC,2008.0,0931
5.0,NFI,D40LF,2008.0,0832-0836
5.0,International,LC,2009.0,1037-1041
4.0,NFI,D40LF,2008.0,0942-0945
6.0,NFI,D40LFR,2010.0,1046-1051
1.0,General Motors/Chevrolet,4500 Arboc,2009.0,0952
