Driver,Team,Laps,Time/Retired,Grid,Points
A. J. Allmendinger,Forsythe Racing,97.0,1:44:59.557,2.0,33
Bruno Junqueira,Newman/Haas Racing,97.0,+20.588 secs,7.0,28
Dan Clarke,CTE Racing-HVM,97.0,+50.261 secs,13.0,26
Will Power,Team Australia,97.0,+55.915 secs,11.0,23
Nelson Philippe,CTE Racing-HVM,97.0,+1:14.187,10.0,21
Paul Tracy,Forsythe Racing,96.0,Contact,4.0,16 *
Sébastien Bourdais,Newman/Haas Racing,96.0,Contact,1.0,20
Justin Wilson,RuSPORT,96.0,+ 1 Lap,3.0,16
Katherine Legge,PKV Racing,96.0,+ 1 Lap,15.0,13
Charles Zwolsman,Mi-Jack Conquest Racing,95.0,+ 2 Laps,12.0,11
Jan Heylen,Dale Coyne Racing,95.0,+ 2 Laps,14.0,10
Nicky Pastorelli,Rocketsports Racing,27.0,Brakes,16.0,9
Mario Domínguez,Dale Coyne Racing,21.0,Suspension,9.0,8
Andrew Ranger,Mi-Jack Conquest Racing,18.0,Gearbox,6.0,7
Oriol Servià,PKV Racing,14.0,Engine,8.0,6
Alex Tagliani,Team Australia,0.0,Contact,5.0,5
