Rank,Team,Round1,Round2,Round3,Round4,Round5,Total Points
1.0,Germany,92.0,56.0,62.0,52.0,74.0,336.0
2.0,Netherlands,41.0,60.0,17.0,72.0,99.0,289.0
3.0,Great Britain,133.0,36.0,15.0,32.0,57.0,273.0
4.0,France,24.0,25.0,65.0,64.0,71.0,249.0
5.0,Spain,49.0,66.0,78.0,17.0,31.0,241.0
6.0,China,41.0,38.0,23.0,108.0,31.0,241.0
7.0,Team Toshiba,12.0,98.0,38.0,29.0,35.0,212.0
8.0,Russia,45.0,55.0,51.0,37.0,11.0,199.0
9.0,Ukraine,51.0,67.0,22.0,30.0,24.0,194.0
10.0,Cofidis,25.0,26.0,51.0,26.0,44.0,172.0
