Year,Population (Region total),Population (Bundaberg),Population (Gooburrum),Population (Woongarra),Population (Isis),Population (Kolan)
1921.0,20731.0,"9,276",2922.0,2513.0,3500.0,2520.0
1933.0,25387.0,"11,466",3915.0,3287.0,3778.0,2941.0
1947.0,29237.0,"15,926",3825.0,3345.0,3639.0,2502.0
1954.0,34531.0,"19,951",4131.0,3704.0,4243.0,2502.0
1961.0,37968.0,"22,839",4372.0,4149.0,3951.0,2657.0
1966.0,41444.0,"25,402",4776.0,4934.0,3718.0,2614.0
1971.0,43332.0,"27,324",4519.0,5150.0,3666.0,2673.0
1976.0,51084.0,"30,456",5227.0,8791.0,3926.0,2684.0
1981.0,52444.0,"30,937",5261.0,9865.0,4023.0,2358.0
1986.0,55990.0,"31,427",5917.0,11915.0,4082.0,2649.0
1991.0,64188.0,"32,737*",7117.0,16491.0,4825.0,3018.0
1996.0,73846.0,"42,554",21218.0,21218.0,5878.0,4196.0
2001.0,77323.0,"43,146",23598.0,23598.0,6045.0,4534.0
2006.0,84434.0,"45,901",27232.0,27232.0,6663.0,4638.0
