Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference
1.0,AD Almería,38.0,47+9,21.0,5.0,12.0,62.0,44.0,18.0
2.0,CD Málaga,38.0,47+9,19.0,9.0,10.0,47.0,27.0,20.0
3.0,Real Betis,38.0,46+8,18.0,10.0,10.0,58.0,35.0,23.0
4.0,Real Valladolid,38.0,46+8,20.0,6.0,12.0,47.0,32.0,15.0
5.0,Elche CF,38.0,45+7,16.0,13.0,9.0,50.0,31.0,19.0
6.0,Granada CF,38.0,44+6,16.0,12.0,10.0,46.0,34.0,12.0
7.0,Castilla CF,38.0,42+4,18.0,6.0,14.0,55.0,45.0,10.0
8.0,Cádiz CF,38.0,41+3,15.0,11.0,12.0,52.0,47.0,5.0
9.0,Deportivo Alavés,38.0,40+2,15.0,10.0,13.0,45.0,31.0,14.0
10.0,Getafe Deportivo,38.0,40+2,17.0,6.0,15.0,57.0,56.0,1.0
11.0,CD Castellón,38.0,38,12.0,14.0,12.0,48.0,43.0,5.0
12.0,CE Sabadell FC,38.0,37-1,12.0,13.0,13.0,50.0,49.0,1.0
13.0,CA Osasuna,38.0,37-1,15.0,7.0,16.0,51.0,51.0,0.0
14.0,Real Murcia,38.0,35-3,12.0,11.0,15.0,35.0,52.0,-17.0
15.0,Deportivo de La Coruña,38.0,35-3,13.0,9.0,16.0,43.0,45.0,-2.0
16.0,Algeciras CF,38.0,34-4,13.0,8.0,17.0,40.0,53.0,-13.0
17.0,Real Jaén,38.0,34-4,12.0,10.0,16.0,41.0,55.0,-14.0
18.0,Terrassa FC,38.0,29-9,9.0,11.0,18.0,34.0,51.0,-17.0
19.0,Barakaldo CF,38.0,28-10,10.0,8.0,20.0,31.0,53.0,-22.0
20.0,Racing de Ferrol,38.0,15-23,4.0,7.0,27.0,22.0,80.0,-58.0
