NGC number,Object type,Constellation,Right ascension ( J2000 ),Declination ( J2000 )
6913.0,Open cluster,Cygnus,20h23m56s,°31′
6914.0,Diffuse nebula,Cygnus,20h25m,+42°
6934.0,Globular cluster,Delphinus,20h34m11.5s,°24′15″
6946.0,Spiral galaxy,Cepheus,20h34m51.4s,°09′18″
6960.0,Diffuse nebula,Cygnus,20h45m38.0s,°42′30″
6981.0,Globular cluster,Aquarius,20h53m27.9s,°32′13″
6994.0,Asterism,Aquarius,20h59m,°38′
6995.0,Diffuse nebula,Cygnus,20h57m,°13′
6996.0,Association of stars,Cygnus,20h56m25s,°28′
6997.0,Open cluster,Cygnus,20h56m40s,°39′
6998.0,Elliptical galaxy,Microscopium,21h01m37.7s,°01′55″
6999.0,Lenticular galaxy,Microscopium,21h01m59.5s,°03′32″
7000.0,Diffuse nebula,Cygnus,20h58m47s,°20′
