Year,Date,Winner,Result,Loser,Location
1990.0,September 9,New York Giants,27-20,Philadelphia Eagles,Giants Stadium
1990.0,November 25,Philadelphia Eagles,31-13,New York Giants,Veterans Stadium
1991.0,November 4,Philadelphia Eagles,30-7,New York Giants,Veterans Stadium
1991.0,December 8,Philadelphia Eagles,19-14,New York Giants,Giants Stadium
1992.0,November 22,Philadelphia Eagles,47-34,New York Giants,Giants Stadium
1992.0,December 27,Philadelphia Eagles,20-10,New York Giants,Veterans Stadium
1993.0,October 17,New York Giants,21-10,Philadelphia Eagles,Giants Stadium
1993.0,November 21,New York Giants,7-3,Philadelphia Eagles,Veterans Stadium
1994.0,September 4,New York Giants,28-23,Philadelphia Eagles,Giants Stadium
1994.0,December 18,New York Giants,16-13,Philadelphia Eagles,Veterans Stadium
1995.0,October 15,Philadelphia Eagles,17-14,New York Giants,Giants Stadium
1995.0,November 19,Philadelphia Eagles,28-19,New York Giants,Veterans Stadium
1996.0,October 13,Philadelphia Eagles,19-10,New York Giants,Giants Stadium
1996.0,December 1,Philadelphia Eagles,24-0,New York Giants,Veterans Stadium
1997.0,August 31,New York Giants,31-17,Philadelphia Eagles,Giants Stadium
1997.0,December 7,New York Giants,31-21,Philadelphia Eagles,Veterans Stadium
1998.0,October 19,New York Giants,20-0,Philadelphia Eagles,Giants Stadium
1998.0,December 27,New York Giants,20-10,Philadelphia Eagles,Veterans Stadium
1999.0,October 3,New York Giants,16-15,Philadelphia Eagles,Giants Stadium
1999.0,October 31,New York Giants,23-17,Philadelphia Eagles,Veterans Stadium
