Round,Pick,Overall,Name,Position,College
1.0,8.0,8.0,Ed Boell,QB,New York
3.0,8.0,23.0,Buddy Banker,RB,Tulane
5.0,8.0,38.0,Bill Kirchem,OT,Tulane
6.0,8.0,48.0,Joe Boyd,OT,Texas A&M
7.0,8.0,58.0,Roy Zimmerman,QB,San José State
8.0,8.0,68.0,Bud Orf,E,Missouri
9.0,8.0,78.0,Bob Hoffman,RB,Southern California
10.0,8.0,88.0,Bob Seymour,RB,Oklahoma
11.0,8.0,98.0,Howard Stoecker,OT,Southern California
12.0,8.0,108.0,Allen Johnson,G,Duke
13.0,8.0,118.0,Sam Bartholomew,RB,Tennessee
14.0,8.0,128.0,Ernie Lain,RB,Rice
15.0,8.0,138.0,Sandy Sanford,E,Alabama
16.0,8.0,148.0,Bolo Perdue,E,Duke
17.0,8.0,158.0,Steve Andrako,C,Ohio State
18.0,8.0,168.0,Jay Graybeal,RB,Oregon
19.0,8.0,178.0,Charley Slagle,RB,North Carolina
20.0,8.0,188.0,Buck Murphy,RB,Georgia Tech
21.0,3.0,193.0,Mel Wetzel,OT,Missouri
22.0,3.0,198.0,Steve Sitko,QB,Notre Dame
