Year,BB Pop,BB CW,BB EL,CB CW,RIAA
1968.0,43/,–,–,–,–
1968.0,28/67,55/,–,–,–
1968.0,90/106,–,–,–,–
1968.0,71/72,–/50,–,–,–
1968.0,69/95,–,–,–,–
1968.0,12/112,–,–,–,G
1969.0,35/,56/,7 /,–,–
1969.0,101/,–,–,–,–
1969.0,3 /,60/,8 /,–,P
1969.0,35/,74/,37/,–,G
1969.0,1 /,–,4 /,–,P
1969.0,6,13/,3,–,P
1970.0,16/,31/,3 /,22/,G
1970.0,9,37,1,31,G
1970.0,32,57,5,30,G
1970.0,11,56,1,39,G
1970.0,21,23/ 9,2,5,G
1971.0,33,55,18,–,–
1971.0,53/,34/,8 /,26/,–
1971.0,36/,–,2 /,–,–
1971.0,51/,–,19/,–,–
1972.0,40/,68/,9 /,–,–
1972.0,66/,–,31/,–,–
1972.0,2 /,–/36,–/ 9,–/23,P
1972.0,20/,16,3 /,30,G
1973.0,17,31,–/12,30,–
1973.0,41,–/42,27,–,–
1974.0,39,4,27,7,–
1974.0,17/,–/ 6,6,–/ 4,–
1974.0,14/,–/ 9,–/ 8,–/ 9,–
1975.0,20/,14/,1 /,14/,–
1975.0,35/,11/,–/42,18/,–
1975.0,65/,–/33,–,–/32,–
1976.0,28,6 /45,7,–,–
1976.0,31,1,2,1,–
1977.0,18/,1,14,1,P
1977.0,22/,2 /,6 /,1,G
