Club,City,Founded,Stadium,Capacity
Étoile Sportive du Sahel,Sousse,1925.0,Stade Olympique de Sousse,25000.0
Club Africain,Tunis,1920.0,Stade Olympique d'El Menzah-Tunis,45000.0
Espérance Sportive de Tunis,Tunis,1919.0,Stade Olympique d'El Menzah-Tunis,45000.0
Stade Tunisien,Tunis,1948.0,Stade Chadly Zouiten,18000.0
Avenir Sportif de La Marsa,La Marsa,1939.0,Stade Abdelaziz Chtioui,6000.0
Union Sportive Monastir,Monastir,1923.0,Stade Mustapha Ben Jannet,25000.0
Club Sportif Sfaxien,Sfax,1928.0,Stade Taïeb Mhiri,18000.0
El-Gawafel Sportives de Gafsa,Gafsa,1967.0,Stade du 7 Novembre,12000.0
Olympique de Béja,Béja,1929.0,Stade Olympique,8000.0
Club Sportif de Hammam-Lif,Hammam-Lif,1944.0,Stade Bou Kornine,8000.0
Espérance Sportive de Zarzis,Zarzis,1934.0,Stade Jlidi,7000.0
Bizerte Athletic F.C.,Bizerte,1928.0,Stade du 15 Octobre,16000.0
Jendouba Sport,Jendouba,1922.0,Stade Municipal de Jendouba,4000.0
Stade Gabésien,Gabès,1957.0,Stade du Zrig,15000.0
