Game,Date,Opponent,Result,Falcons points,Opponents,Record,Streak,Attendance
1.0,Sept. 2,at New Orleans Saints,Win,36.0,28.0,1-0,Won 1,66652.0
2.0,Sept. 9,Detroit Lions,Loss (OT),24.0,27.0,1-1,Lost 1,49878.0
3.0,Sept. 16,at Minnesota Vikings,Loss,20.0,27.0,1-2,Lost 2,53955.0
4.0,Sept. 23,Houston Oilers,Win,42.0,10.0,2-2,Won 1,45248.0
5.0,Sept. 30,at San Francisco 49ers,Loss,5.0,14.0,2-3,Lost 1,57990.0
6.0,Oct. 7,at Los Angeles Rams,Win,30.0,28.0,3-3,Won 1,47832.0
7.0,Oct. 14,New York Giants,Loss,7.0,19.0,3-4,Lost 1,50268.0
8.0,Oct. 22,Los Angeles Rams,Loss,10.0,24.0,3-5,Lost 2,52681.0
9.0,Oct. 28,at Pittsburgh Steelers,Loss,10.0,35.0,3-6,Lost 3,55971.0
10.0,Nov. 5,at Washington Redskins,Loss,14.0,27.0,3-7,Lost 4,51301.0
11.0,Nov. 11,New Orleans Saints,Loss,13.0,17.0,3-8,Lost 5,40590.0
12.0,Nov. 18,Cleveland Browns,Loss,7.0,23.0,3-9,Lost 6,28280.0
13.0,Nov. 25,at Cincinnati Bengals,Loss,14.0,35.0,3-10,Lost 7,44678.0
14.0,Dec. 2,San Francisco 49ers,Loss,17.0,35.0,3-11,Lost 8,29644.0
15.0,Dec. 9,at Tampa Bay Buccaneers,Loss,6.0,23.0,3-12,Lost 9,33808.0
