Week,Date,Opponent,Result,Attendance
1.0,"September 25, 1955",at San Francisco 49ers,W 23-14,60100.0
2.0,"October 2, 1955",Pittsburgh Steelers,W 27-26,45816.0
3.0,"October 9, 1955",at Detroit Lions,W 17-10,54836.0
4.0,"October 16, 1955",at Green Bay Packers,L 30-28,26960.0
5.0,"October 23, 1955",Detroit Lions,W 24-13,68690.0
6.0,"October 30, 1955",Chicago Bears,L 31-20,69587.0
7.0,"November 6, 1955",San Francisco 49ers,W 27-14,85302.0
8.0,"November 13, 1955",at Chicago Bears,L 24-3,50187.0
9.0,"November 20, 1955",at Baltimore Colts,T 17-17,41186.0
10.0,"November 27, 1955",at Philadelphia Eagles,W 23-21,31648.0
11.0,"December 4, 1955",Baltimore Colts,W 20-14,37024.0
12.0,"December 11, 1955",Green Bay Packers,W 31-17,90535.0
