Model,Build year,Top speed (In operation) （km/h）,Power output （kW）,Builder,Total production
SS1 (6Y1),1958—1988,90.0,3780,Zhuzhou,826.0
SS2,1969,100.0,4620,Zhuzhou,1.0
SS3,1978—1993,100.0,4320,Zhuzhou Ziyang Datong,677.0
SS3(4000),1992—2006,100.0,4320,Zhuzhou Ziyang Datong Taiyuan,733.0
SS3B (coupling of double loco),2003—2006?,100.0,2×4320,Zhuzhou Ziyang Datong,333.0
SS3C,2008,100.0,2×4800,Taiyuan,1.0
SS4,1985—2003,100.0,2×3200,Zhuzhou,158.0
SS4G,1993—2007,100.0,2×3200,Zhuzhou Ziyang Dalian Datong,1347.0
SS4B,1995—2006,100.0,2×3200,Zhuzhou,130.0
SS4C,1997,100.0,2×3200,Zhuzhou,2.0
SS5,1991,140.0,3200,Zhuzhou,2.0
SS6,1990—1992,100.0,4800,Zhuzhou,53.0
SS6B,1992—?,100.0,4800,Zhuzhou,148.0
SS7,1992—2007,100.0,4800,Datong,113.0
SS7B,1997,100.0,4800,Datong,2.0
SS7C,1998—2006,120.0,4800,Datong,171.0
SS7D,1999—2002,170.0,4800,Datong,59.0
SS7E,2001—2006,170.0,4800,Datong Dalian,146.0
SS8,1994—2001,170.0,3600,Zhuzhou,245.0
SS9,1998—2002,170.0,4800,Zhuzhou,214.0
SS9G,2002—2006,170.0,4800,Zhuzhou,214.0
