Candidate,Party,Election List,Governorate,Votes
Nouri al-Maliki,Islamic Da'awa Party,State of Law Coalition,Baghdad,622961.0
Ayad Allawi,Iraqi National Accord,al-Iraqiyya,Baghdad,407537.0
Usama al-Nujayfi,al-Hadba,al-Iraqiyya,Ninawa,274741.0
Tariq al-Hashemi,Renewal List,al-Iraqiyya,Baghdad,200963.0
Ibrahim al-Jaafari,National Reform Trend,National Iraqi Alliance,Baghdad,101053.0
Nawshirwan Mustafa,Gorran Movement,Gorran List,Silemani,93196.0
Rafi al-Issawi,National Future Gathering,al-Iraqiyya,al-Anbar,83145.0
Baqir Jabr al-Zubeidi,Islamic Supreme Council of Iraq,National Iraqi Alliance,Baghdad,68822.0
Khalid Shwani,Patriotic Union of Kurdistan,Kurdistani List,Kerkuk,68522.0
Arshad al-Salihi,Iraqi Turkmen Front,al-Iraqiyya,Kerkuk,59732.0
Ali Bapir,Islamic Group of Kurdistan,IGK List,Hewler,50116.0
