Week,Date,Opponent,Result,Attendance
1.0,"September 15, 1963",at Cleveland Browns,L 37-14,57618.0
2.0,"September 21, 1963",at Los Angeles Rams,W 37-14,29295.0
3.0,"September 29, 1963",Dallas Cowboys,W 21-17,40101.0
4.0,"October 6, 1963",New York Giants,L 24-14,49419.0
5.0,"October 13, 1963",Philadelphia Eagles,L 37-24,49219.0
6.0,"October 20, 1963",at Pittsburgh Steelers,L 38-27,41987.0
7.0,"October 27, 1963",St. Louis Cardinals,L 21-7,46921.0
8.0,"November 3, 1963",at Dallas Cowboys,L 35-20,18838.0
9.0,"November 10, 1963",at St. Louis Cardinals,L 24-20,18197.0
10.0,"November 17, 1963",Pittsburgh Steelers,L 34-28,49219.0
11.0,"November 24, 1963",at Philadelphia Eagles,W 13-10,60671.0
12.0,"December 1, 1963",Baltimore Colts,L 36-20,44006.0
13.0,"December 8, 1963",at New York Giants,L 44-14,62992.0
14.0,"December 15, 1963",Cleveland Browns,L 27-20,40865.0
