Season,Div.,Tms.,Pos.,Attendance/G
1995.0,J1,14.0,8.0,12097.0
1996.0,J1,16.0,13.0,8229.0
1997.0,J1,17.0,11.0,9153.0
1998.0,J1,18.0,9.0,9864.0
1999.0,J1,16.0,6.0,10216.0
2000.0,J1,16.0,5.0,13548.0
2001.0,J1,16.0,16.0,11857.0
2002.0,J2,12.0,2.0,7952.0
2003.0,J1,16.0,9.0,13854.0
2004.0,J1,16.0,15.0,14323.0
2005.0,J1,18.0,5.0,17648.0
2006.0,J1,18.0,17.0,13026.0
2007.0,J2,13.0,5.0,6627.0
2008.0,J2,15.0,4.0,10554.0
2009.0,J2,18.0,2.0,9912.0
2010.0,J1,18.0,3.0,15026.0
2011.0,J1,18.0,12.0,14145.0
2012.0,J1,18.0,14.0,16815.0
