Rider,Manufacturer,Laps,Time/Retired,Grid
Mattia Pasini,Aprilia,25.0,41:49.049,1.0
Tomoyoshi Koyama,KTM,25.0,+3.253,3.0
Héctor Faubel,Aprilia,25.0,+ 5.094,6.0
Sergio Gadea,Aprilia,25.0,+6.781,5.0
Joan Olivé,Aprilia,25.0,+7.212,10.0
Mike Di Meglio,Honda,25.0,+7.335,15.0
Bradley Smith,Honda,25.0,+13.505,9.0
Raffaele de Rosa,Aprilia,25.0,+13.885,12.0
Pablo Nieto,Aprilia,25.0,+14.367,7.0
Simone Corsi,Aprilia,25.0,+26.672,2.0
Lorenzo Zanetti,Aprilia,25.0,+27.060,17.0
Sandro Cortese,Aprilia,25.0,+37.403,16.0
Randy Krummenacher,KTM,25.0,+38.212,11.0
Enrique Jerez,Honda,25.0,+41.905,24.0
Andrea Iannone,Aprilia,25.0,+48.782,14.0
Robert Muresan,Derbi,25.0,+1:05.000,26.0
Simone Grotzkyj,Aprilia,25.0,+1:05.720,31.0
Lukáš Pešek,Derbi,25.0,+1:05.847,21.0
Alexis Masbou,Honda,25.0,+1:18.100,8.0
Michael Ranseder,Derbi,25.0,+1:18.468,18.0
Joey Litjens,Honda,25.0,+1:23.222,29.0
Luke Jones,Honda,25.0,+1:24.001,33.0
Stevie Bonsey,KTM,25.0,+1:24.309,30.0
Nicolás Terol,Derbi,25.0,+1:27.391,22.0
Danny Webb,Honda,25.0,+1:33.592,37.0
Hugo van den Berg,Aprilia,25.0,+1:38.942,27.0
Nikki Coates,Honda,25.0,+1:40.403,34.0
Robbie Stewart,Honda,25.0,+1:40.553,32.0
Roberto Tamburini,Aprilia,24.0,+1 Lap,19.0
Tom Hayward,Honda,24.0,+1 Lap,36.0
Federico Sandi,Aprilia,20.0,Retirement,23.0
Gábor Talmácsi,Aprilia,19.0,Retirement,4.0
Kev Coghlan,Honda,15.0,Retirement,35.0
Esteve Rabat,Honda,13.0,Retirement,28.0
Stefano Bianco,Aprilia,10.0,Retirement,20.0
Pol Espargaró,Aprilia,10.0,Retirement,13.0
Dominique Aegerter,Aprilia,4.0,Retirement,25.0
