Rider,Manufacturer,Laps,Time/Retired,Grid
Marco Melandri,Aprilia,26.0,42:52.922,2.0
Franco Battaini,Aprilia,26.0,+2.962,1.0
Fonsi Nieto,Aprilia,26.0,+5.213,5.0
Roberto Rolfo,Honda,26.0,+6.290,3.0
Roberto Locatelli,Aprilia,26.0,+6.675,7.0
Randy de Puniet,Aprilia,26.0,+8.102,4.0
Emilio Alzamora,Honda,26.0,+22.571,11.0
Sebastián Porto,Yamaha,26.0,+24.171,12.0
Alex Debón,Aprilia,26.0,+28.161,9.0
David Checa,Aprilia,26.0,+36.261,14.0
Naoki Matsudo,Yamaha,26.0,+47.211,10.0
Jason Vincent,Honda,26.0,+47.886,22.0
Haruchika Aoki,Honda,26.0,+53.106,13.0
Dirk Heidolf,Aprilia,26.0,+1:02.767,20.0
Leon Haslam,Honda,26.0,+1:04.093,18.0
Toni Elías,Aprilia,26.0,+1:13.435,15.0
Jarno Janssen,Honda,25.0,+1 lap,24.0
Héctor Faubel,Aprilia,25.0,Accident,17.0
Shahrol Yuzy,Yamaha,25.0,Accident,16.0
Raúl Jara,Aprilia,9.0,Accident,6.0
Casey Stoner,Aprilia,2.0,Accident,8.0
Hugo Marchand,Aprilia,1.0,Retirement,23.0
Vincent Philippe,Aprilia,1.0,Accident,21.0
Taro Sekiguchi,Yamaha,0.0,Accident,19.0
