Team,Average,Points,Played,1992-93,1993-94,1994-1995
San Lorenzo,1.272,145.0,114.0,45,44,56.0
River Plate,1.228,140.0,114.0,46,45,49.0
Vélez Sársfield,1.211,138.0,114.0,48,38,52.0
Boca Juniors,1.149,131.0,114.0,48,42,41.0
Independiente,1.106,126.0,114.0,41,48,37.0
Gimnasia de La Plata,1.053,120.0,114.0,34,37,49.0
Lanús,1.026,117.0,114.0,37,41,39.0
Racing Club,1.026,117.0,114.0,36,42,39.0
Rosario Central,1.018,116.0,114.0,39,38,39.0
Huracán,1.009,115.0,114.0,43,43,29.0
Banfield,1.0,76.0,76.0,N/A,40,36.0
Belgrano de Córdoba,0.956,109.0,114.0,38,35,36.0
Deportivo Español,0.956,109.0,114.0,41,32,36.0
Ferro Carril Oeste,0.921,105.0,114.0,38,35,32.0
Argentinos Juniors,0.903,103.0,114.0,33,36,34.0
Platense,0.886,101.0,114.0,28,38,35.0
Newell's Old Boys,0.868,99.0,114.0,25,36,38.0
Gimnasia de Jujuy,0.842,32.0,38.0,N/A,N/A,32.0
Deportivo Mandiyú,0.807,92.0,114.0,37,30,25.0
Talleres de Córdoba,0.632,24.0,38.0,N/A,N/A,24.0
