County,Kerry%,Kerry#,Bush%,Bush#,Others%,Others#
Adams,52.1%,5447.0,46.8%,4890.0,1.1%,119.0
Ashland,63.1%,5805.0,36.0%,3313.0,0.9%,81.0
Barron,48.9%,11696.0,50.3%,12030.0,0.9%,211.0
Bayfield,60.3%,5845.0,38.7%,3754.0,1.0%,100.0
Brown,44.6%,54935.0,54.5%,67173.0,1.0%,1186.0
Buffalo,52.7%,3998.0,46.1%,3502.0,1.2%,91.0
Burnett,48.3%,4499.0,50.9%,4743.0,0.8%,79.0
Calumet,40.7%,10290.0,58.2%,14721.0,1.0%,265.0
Chippewa,48.3%,14751.0,50.6%,15450.0,1.1%,323.0
Clark,46.1%,6966.0,52.7%,7966.0,1.3%,193.0
Columbia,48.4%,14300.0,50.6%,14956.0,1.0%,299.0
Crawford,55.0%,4656.0,43.5%,3680.0,1.5%,123.0
Dane,66.0%,181052.0,33.0%,90369.0,1.0%,2828.0
Dodge,37.6%,16690.0,61.4%,27201.0,1.0%,445.0
Door,47.8%,8367.0,50.9%,8910.0,1.2%,214.0
Douglas,65.7%,16537.0,33.5%,8448.0,0.8%,202.0
Dunn,52.0%,12039.0,46.9%,10879.0,1.1%,254.0
Eau Claire,54.2%,30068.0,44.5%,24653.0,1.3%,716.0
Florence,36.5%,993.0,62.5%,1703.0,1.0%,28.0
Fond du Lac,36.2%,19216.0,62.8%,33291.0,1.0%,529.0
Forest,48.7%,2509.0,50.6%,2608.0,0.7%,36.0
Grant,50.9%,12864.0,48.3%,12208.0,0.8%,192.0
Green,52.5%,9575.0,46.6%,8497.0,1.0%,176.0
Green Lake,35.4%,3605.0,63.6%,6472.0,1.0%,101.0
Iowa,56.8%,7122.0,42.6%,5348.0,0.6%,72.0
Iron,50.4%,1956.0,48.6%,1884.0,1.0%,39.0
Jackson,54.0%,5249.0,45.1%,4387.0,0.9%,90.0
Jefferson,42.6%,17925.0,56.5%,23776.0,1.0%,414.0
Juneau,46.3%,5734.0,52.3%,6473.0,1.4%,172.0
Kenosha,52.5%,40107.0,46.6%,35587.0,1.0%,734.0
Kewaunee,45.9%,5175.0,53.0%,5970.0,1.1%,128.0
La Crosse,53.4%,33170.0,45.5%,28289.0,1.1%,677.0
Lafayette,52.5%,4402.0,46.8%,3929.0,0.7%,57.0
Langlade,42.9%,4751.0,56.3%,6235.0,0.8%,88.0
Lincoln,47.7%,7484.0,51.1%,8024.0,1.2%,192.0
Manitowoc,46.8%,20652.0,52.1%,23027.0,1.1%,481.0
Marathon,45.4%,30899.0,53.5%,36394.0,1.1%,766.0
Marinette,45.8%,10190.0,53.3%,11866.0,1.0%,214.0
Marquette,44.7%,3785.0,54.3%,4604.0,1.0%,88.0
Menominee,82.6%,1412.0,16.8%,288.0,0.6%,10.0
Milwaukee,61.7%,297653.0,37.4%,180287.0,0.9%,4296.0
Monroe,45.9%,8973.0,53.1%,10375.0,1.1%,206.0
Oconto,43.1%,8534.0,55.8%,11043.0,1.1%,217.0
Oneida,47.5%,10464.0,51.5%,11351.0,1.0%,224.0
Outagamie,44.6%,40169.0,54.3%,48903.0,1.1%,978.0
Ozaukee,33.4%,17714.0,65.8%,34904.0,0.8%,414.0
Pepin,53.6%,2181.0,45.6%,1853.0,0.8%,32.0
Pierce,51.1%,11176.0,47.7%,10437.0,1.2%,263.0
Polk,47.5%,11173.0,51.5%,12095.0,1.0%,235.0
Portage,56.1%,21861.0,42.5%,16546.0,1.4%,554.0
Price,49.6%,4349.0,49.2%,4312.0,1.2%,102.0
Racine,47.5%,48229.0,51.6%,52456.0,0.9%,884.0
Richland,47.8%,4501.0,51.3%,4836.0,0.9%,83.0
Rock,57.9%,46598.0,41.2%,33151.0,0.9%,730.0
Rusk,48.2%,3820.0,50.3%,3985.0,1.5%,122.0
St. Croix,44.9%,18784.0,54.2%,22679.0,0.9%,372.0
Sauk,51.6%,15708.0,47.4%,14415.0,1.0%,294.0
Sawyer,46.7%,4411.0,52.4%,4951.0,1.0%,91.0
Shawano,41.2%,8657.0,57.9%,12150.0,0.9%,192.0
Sheboygan,44.1%,27608.0,55.0%,34458.0,0.9%,559.0
Taylor,40.1%,3829.0,58.5%,5582.0,1.4%,132.0
Trempealeau,57.4%,8075.0,41.8%,5878.0,0.8%,109.0
Vernon,53.4%,7924.0,45.6%,6774.0,1.0%,147.0
Vilas,40.8%,5713.0,58.2%,8155.0,1.0%,134.0
Walworth,39.6%,19177.0,59.4%,28754.0,1.1%,515.0
Washburn,49.2%,4705.0,49.8%,4762.0,1.0%,100.0
Washington,29.3%,21234.0,69.9%,50641.0,0.8%,592.0
Waukesha,32.0%,73626.0,67.3%,154926.0,0.8%,1811.0
Waupaca,40.0%,10792.0,59.1%,15941.0,0.9%,241.0
Waushara,42.9%,5257.0,56.2%,6888.0,0.8%,101.0
Winnebago,46.2%,40943.0,52.5%,46542.0,1.3%,1111.0
Wood,47.3%,18950.0,51.4%,20592.0,1.3%,529.0
