Draw,Language,Artist,English translation,Place,Points
1.0,Italian,Enrico Ruggeri,Sun of Europe,12.0,45.0
2.0,Turkish,Burak Aydos,My darling brunette,21.0,10.0
3.0,German,Münchener Freiheit,Much too far,18.0,18.0
4.0,French,Annie Cotton,Quite simply myself,3.0,148.0
5.0,Danish,Tommy Seebach Band,Under the stars of the sky,22.0,9.0
6.0,Greek,Katerina Garbi,"Greece, country of light",9.0,64.0
7.0,Dutch,Barbara Dex,Someone like you,25.0,3.0
8.0,English,William Mangion,—,8.0,69.0
9.0,Icelandic,Inga,Then you'll know the answer,13.0,42.0
10.0,German,Tony Wegas,Mary Magdalene,14.0,32.0
11.0,Portuguese,Anabela,The city (until dawn),10.0,60.0
12.0,"French, Corsican",Patrick Fiori,—,4.0,121.0
13.0,Swedish,Arvingarna,—,7.0,89.0
14.0,English,Niamh Kavanagh,—,1.0,187.0
15.0,"French, Luxembourgish",Modern Times,Give me a chance,20.0,11.0
16.0,Slovene,1X Band,A quiet rainy day,22.0,9.0
17.0,Finnish,Katri Helena,Come to me,17.0,20.0
18.0,Bosnian,Fazla,All the pain in the world,16.0,27.0
19.0,English,Sonia,—,2.0,164.0
20.0,Dutch,Ruth Jacott,Peace,6.0,92.0
21.0,"Croatian , English",Put,—,15.0,31.0
22.0,Spanish,Eva Santamaría,Men,11.0,58.0
23.0,Greek,Zimboulakis & Van Beke,Don't stop,19.0,17.0
24.0,"Hebrew , English",The Shiru Group,Sing,24.0,4.0
25.0,Norwegian,Silje Vige,All my thoughts,5.0,120.0
