Rank by average,Competition finish,Couple,Total,Number of dances,Average
1.0,1.0,Alesha & Matthew,584.0,16.0,36.5
2.0,6.0,Kelly & Brendan,231.0,7.0,33.0
3.0,2.0,Matt & Flavia,526.0,16.0,32.9
3.0,3.0,Gethin & Camilla,428.0,13.0,32.9
5.0,9.0,Penny & Ian,150.0,5.0,30.0
5.0,11.0,Gabby & James,90.0,3.0,30.0
7.0,4.0,Letitia & Darren,324.0,11.0,29.5
8.0,7.0,John & Nicole,190.0,7.0,27.1
9.0,10.0,Dominic & Lilia,101.0,4.0,25.3
10.0,13.0,Stephanie & Vincent,24.0,1.0,24.0
10.0,5.0,Kenny & Ola,216.0,9.0,24.0
12.0,12.0,Willie & Erin,47.0,2.0,23.5
13.0,8.0,Kate & Anton,115.0,6.0,19.2
14.0,14.0,Brian & Karen,18.0,1.0,18.0
