Pick #,NFL Team,Player,Position,College
11.0,Los Angeles Raiders,Anthony Smith,Defensive End,Arizona
38.0,Los Angeles Raiders,Aaron Wallace,Defensive End,Texas A&M
96.0,Los Angeles Raiders,Torin Dorn,Cornerback,North Carolina
124.0,Los Angeles Raiders,Stan Smagala,Defensive Back,Notre Dame
150.0,Los Angeles Raiders,Marcus Wilson,Running Back,Virginia
174.0,Los Angeles Raiders,Garry Lewis,Cornerback,Alcorn State
198.0,Los Angeles Raiders,Arthur Jimerson,Defensive End,Norfolk State
231.0,Los Angeles Raiders,Leon Perry,Running Back,Oklahoma
304.0,Los Angeles Raiders,Ron Lewis,Wide Receiver,Jackson State
305.0,Los Angeles Raiders,Myron Jones,Running Back,Fresno State
