Team,Location,Head Coach,Team Captain,Venue,Capacity,Position in 2008
Amkar,Perm,Rashid Rakhimov,Martin Kushev,Zvezda,19500.0,4th
CSKA,Moscow,Leonid Slutskiy,Igor Akinfeev,Luzhniki,78304.0,2nd
Dynamo,Moscow,Andrei Kobelev,Dmitri Khokhlov,Arena Khimki,18840.0,3rd
Khimki,Khimki,Igor Chugainov (caretaker),Dragan Blatnjak,Arena Khimki,18840.0,14th
Krylia Sovetov,Samara,Yuri Gazzaev,Ruslan Adzhindzhal,Metallurg,33001.0,6th
Kuban,Krasnodar,Poghos Galstyan (caretaker),Andrei Topchu,Kuban,34640.0,"D1, 2nd"
Lokomotiv,Moscow,Yuri Semin,Rodolfo,Lokomotiv,28810.0,7th
Moscow,Moscow,Miodrag Božović,Yuri Zhevnov,Eduard Streltsov,13422.0,9th
Rostov,Rostov-on-Don,Oleg Dolmatov,Mikhail Osinov,Olimp-2,15842.0,"D1, 1st"
Rubin,Kazan,Gurban Berdiýew,Sergei Semak,Centralny,28856.0,1st
Saturn,Ramenskoye,Andrei Gordeev (caretaker),Aleksei Igonin,Saturn,16726.0,11th
Spartak,Moscow,Valeri Karpin (executive director),Martin Jiránek,Luzhniki,78304.0,8th
Spartak,Nalchik,Yuri Krasnozhan,Miodrag Džudović,Spartak,14194.0,12th
Terek,Grozny,Shahin Diniyev (caretaker),Timur Dzhabrailov,Sultan Bilimkhanov,10400.0,10th
Tom,Tomsk,Valeri Nepomnyaschiy,Sergei Pareiko,Trud,14950.0,13th
