Rank,Quarterback,Streak start,Streak end,Teams,Regular season,Playoffs,Total
1,Brett Favre,9/27/1992,12/5/2010,Green Bay ; NY Jets ; Minnesota,297.0,24.0,321.0
2,Peyton Manning,9/6/1998,1/2/2011,Indianapolis,208.0,19.0,227.0
3,Eli Manning,11/21/2004,Active,NY Giants,143.0,11.0,154.0
4,Philip Rivers,9/11/2006,Active,San Diego,119.0,7.0,126.0
5,Ron Jaworski,9/18/1977,11/25/1984,Philadelphia,116.0,7.0,123.0
6,Tom Brady,9/30/2001,9/7/2008,New England,111.0,17.0,128.0
7,Joe Ferguson,9/18/1977,9/23/1984,Buffalo,107.0,3.0,110.0
8,Dan Marino,10/25/1987,10/10/1993,Miami,95.0,4.0,99.0
9,Roman Gabriel,11/28/1965,9/17/1972,LA Rams,89.0,2.0,91.0
10,Johnny Unitas,9/27/1959,11/7/1965,Baltimore,88.0,3.0,91.0
11T,Jim Everett,9/4/1988,10/23/1993,LA Rams,87.0,4.0,91.0
11T,Joe Flacco,9/7/2008,Active,Baltimore,87.0,13.0,100.0
13,Richard Todd,9/9/1979,12/2/1984,NY Jets; New Orleans,86.0,4.0,90.0
14,Aaron Brooks,11/26/2000,12/12/2005,New Orleans,82.0,2.0,84.0
15,Trent Green,9/9/2001,9/10/2006,Kansas City,81.0,1.0,82.0
16,Drew Brees,9/11/2005,12/27/2009,San Diego; New Orleans,79.0,2.0,81.0
17,Steve Grogan,11/23/1975,11/16/1980,New England,76.0,2.0,78.0
18,Tom Brady,9/14/2009,Active,New England,72.0,7.0,79.0
19T,Fran Tarkenton,12/11/1966,12/12/1971,Minnesota; NY Giants,71.0,0.0,71.0
19T,Joe Theismann,12/7/1980,11/18/1985,Washington,71.0,8.0,79.0
19T,Rich Gannon,9/12/1999,10/20/2003,Oakland,71.0,7.0,78.0
22T,Brian Sipe,9/3/1978,12/12/1982,Cleveland,70.0,1.0,71.0
22T,Trent Dilfer,9/3/1995,10/24/1999,Tampa Bay,70.0,2.0,72.0
22T,Drew Bledsoe,9/8/2002,10/23/2006,Buffalo; Dallas,70.0,0.0,70.0
