Name,Geographic code,Type,Households,Population (2004),Foreign population,Moroccan population
Azemmour,181.01.01.,Municipality,8080.0,36722.0,26.0,36696.0
El-Jadida,181.01.03.,Municipality,31602.0,144440.0,384.0,144056.0
Lbir Jdid,181.01.05.,Municipality,3091.0,15267.0,14.0,15253.0
Sidi Bennour,181.01.07.,Provincial,8000.0,39593.0,16.0,39577.0
Zemamra,181.01.09.,Municipality,2336.0,11896.0,1.0,11895.0
Chtouka,181.03.01.,Rural commune,4541.0,28939.0,3.0,28936.0
Haouzia,181.03.03.,Rural commune,5989.0,34607.0,14.0,34593.0
Laghdira,181.03.05.,Rural commune,2630.0,16879.0,12.0,16867.0
Lamharza Essahel,181.03.07.,Rural commune,2766.0,15938.0,0.0,15938.0
Oulad Rahmoune,181.03.09.,Rural commune,3414.0,20239.0,0.0,20239.0
Sidi Ali Ben Hamdouche,181.03.11.,Rural commune,5158.0,28685.0,7.0,28678.0
Moulay Abdallah,181.05.01.,Rural commune,8909.0,45780.0,28.0,45752.0
Oulad Aissa,181.05.03.,Rural commune,3430.0,21779.0,0.0,21779.0
Oulad Ghanem,181.05.05.,Rural commune,3438.0,22342.0,0.0,22342.0
Oulad Hcine,181.05.07.,Rural commune,4626.0,27475.0,0.0,27475.0
Sidi Abed,181.05.09.,Rural commune,3627.0,20854.0,0.0,20854.0
Sidi M'Hamed Akhdim,181.05.11.,Rural commune,1680.0,10745.0,0.0,10745.0
Bni Hilal,181.07.01.,Rural commune,2945.0,17288.0,0.0,17288.0
Bni Tsiriss,181.07.03.,Rural commune,2320.0,14955.0,3.0,14952.0
Bouhmame,181.07.05.,Rural commune,5268.0,30540.0,0.0,30540.0
Jabria,181.07.07.,Rural commune,2994.0,17654.0,0.0,17654.0
Khmis Ksiba,181.07.09.,Rural commune,1064.0,6637.0,0.0,6637.0
Koudiat Bni Dghough,181.07.11.,Rural commune,2712.0,15506.0,6.0,15500.0
Kridid,181.07.13.,Rural commune,2023.0,12751.0,0.0,12751.0
Laagagcha,181.07.15.,Rural commune,2441.0,14313.0,0.0,14313.0
Laamria,181.07.17.,Rural commune,2105.0,13314.0,6.0,13308.0
Laaounate,181.07.19.,Rural commune,3188.0,18258.0,2.0,18256.0
Laatatra,181.07.21.,Rural commune,2633.0,15046.0,1.0,15045.0
Lmechrek,181.07.23.,Rural commune,2474.0,14853.0,0.0,14853.0
Metrane,181.07.25.,Rural commune,2020.0,11627.0,0.0,11627.0
M'Tal,181.07.27.,Rural commune,2074.0,11879.0,1.0,11878.0
Oulad Amrane,181.07.29.,Rural commune,2167.0,11866.0,0.0,11866.0
Oulad Boussaken,181.07.31.,Rural commune,1221.0,7641.0,0.0,7641.0
Oulad Si Bouhya,181.07.33.,Rural commune,3120.0,18902.0,0.0,18902.0
Tamda,181.07.35.,Rural commune,1768.0,9701.0,0.0,9701.0
Boulaouane,181.09.01.,Rural commune,2319.0,14404.0,0.0,14404.0
Chaibate,181.09.03.,Rural commune,1738.0,9590.0,1.0,9589.0
Mettouh,181.09.05.,Rural commune,4228.0,25587.0,1.0,25586.0
Mogress,181.09.07.,Rural commune,2380.0,15050.0,0.0,15050.0
Oulad Hamdane,181.09.09.,Rural commune,2749.0,15205.0,0.0,15205.0
Oulad Sidi Ali Ben Youssef,181.09.11.,Rural commune,1783.0,10854.0,1.0,10853.0
Oulad Frej,181.09.13.,Rural commune,3411.0,17047.0,2.0,17045.0
Sebt Saiss,181.09.15.,Rural commune,1949.0,11212.0,0.0,11212.0
Si Hsaien Ben Abderrahmane,181.09.17.,Rural commune,1155.0,6507.0,0.0,6507.0
Sidi Smail,181.09.19.,Rural commune,4264.0,24569.0,2.0,24567.0
Zaouiat Saiss,181.09.21.,Rural commune,1526.0,9519.0,0.0,9519.0
Zaouiat Lakouacem,181.09.23.,Rural commune,2153.0,12726.0,4.0,12722.0
Laghnadra,181.11.01.,Rural commune,5300.0,32091.0,0.0,32091.0
Lgharbia,181.11.03.,Rural commune,3808.0,23074.0,0.0,23074.0
Loualidia,181.11.05.,Rural commune,2668.0,15433.0,14.0,15419.0
Oulad Sbaita,181.11.07.,Rural commune,3872.0,24967.0,0.0,24967.0
Saniat Berguig,181.11.09.,Rural commune,4924.0,30286.0,0.0,30286.0
