Manufacturer,Transmission,Engine Capacity,Fuel Type,L/100km Urban (Cold),L/100km Extra-Urban,L/100km Combined,mpg-UK Urban (Cold),mpg-UK Extra-Urban,mpg-UK Combined,mpg-US Urban,mpg-US Extra-Urban,mpg-US Combined,CO 2 g/km,Green Rating
Toyota,Multi5,998.0,Petrol,5.5,4.1,4.6,51.4,68.9,61.4,42.8,57.4,51.1,109.0,B
Toyota,M5,998.0,Petrol,5.5,4.1,4.6,51.4,68.9,61.4,42.8,57.4,51.1,109.0,B
Toyota,M5,998.0,Petrol,6.4,4.9,5.4,44.1,57.6,52.3,36.7,48.0,43.5,127.0,C
Toyota,M5,1298.0,Petrol,7.2,5.3,6.0,39.2,53.3,47.1,32.6,44.4,39.2,141.0,C
Toyota,Multi5,1298.0,Petrol,6.7,5.3,5.8,42.2,53.3,48.7,35.1,44.4,40.6,136.0,C
Toyota,M5,1364.0,Diesel,5.4,4.0,4.5,52.3,70.6,62.8,43.5,58.8,52.3,119.0,B
Toyota,Multi5,1364.0,Diesel,5.4,4.0,4.5,52.3,70.6,62.8,43.5,58.8,52.3,119.0,B
Toyota,M5,1798.0,Petrol,9.2,6.0,7.2,30.7,47.1,39.2,25.6,39.2,32.6,170.0,E
Toyota,M5,1398.0,Petrol,8.7,5.9,6.9,32.5,47.9,40.9,27.1,39.9,34.1,163.0,D
Toyota,M5,1598.0,Petrol,9.0,5.9,7.1,31.4,47.9,39.8,26.1,39.9,33.1,166.0,E
Toyota,Multi5,1598.0,Petrol,8.5,5.9,6.9,33.2,47.9,40.9,27.6,39.9,34.1,161.0,D
Toyota,M5,1364.0,Diesel,5.8,4.5,5.0,48.7,62.8,56.5,40.6,52.3,47.0,132.0,C
Toyota,Multi5,1364.0,Diesel,5.8,4.5,5.0,48.7,62.8,56.5,40.6,52.3,47.0,131.0,C
Toyota,M6,1998.0,Diesel,7.0,4.6,5.4,40.4,61.4,52.3,33.6,51.1,43.5,144.0,C
Toyota,M6,2231.0,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,29.8,45.2,38.0,164.0,D
Toyota,E-CVT,1497.0,Petrol Hybrid,5.0,4.2,4.3,56.5,67.3,65.7,47.0,56.0,54.7,104.0,B
Toyota,M5,1794.0,Petrol,9.4,5.8,7.2,30.1,48.7,39.2,25.1,40.6,32.6,171.0,E
Toyota,A4,1794.0,Petrol,10.3,6.3,7.7,27.4,44.8,36.7,22.8,37.3,30.6,187.0,F
Toyota,M5,1794.0,Petrol,9.4,5.8,7.2,30.1,48.7,39.2,25.1,40.6,32.6,172.0,E
Toyota,M5,1998.0,Petrol,10.6,6.6,8.1,26.6,42.8,34.9,22.1,35.6,29.1,191.0,F
Toyota,A4,1998.0,Petrol,12.8,7.2,9.2,22.1,39.2,30.7,18.4,32.6,25.6,221.0,F
Toyota,M5,1998.0,Petrol,10.7,6.6,8.1,26.4,42.8,34.9,22.0,35.6,29.1,193.0,F
Toyota,A4,1998.0,Petrol,12.9,7.3,9.4,21.9,38.7,30.1,18.2,32.2,25.1,224.0,F
Toyota,M6,1998.0,Diesel,7.1,4.6,5.5,39.8,61.4,51.4,33.1,51.1,42.8,146.0,C
Toyota,M6,1998.0,Diesel,7.2,4.7,5.7,39.2,60.1,49.6,32.6,50.0,41.3,149.0,C
Toyota,M6,2231.0,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,31.0,48.0,39.9,156.0,D
Toyota,M6,2231.0,Diesel,7.7,4.9,6.0,36.7,57.6,47.1,30.6,48.0,39.2,158.0,D
Toyota,M6,2231.0,Diesel,7.6,5.2,6.1,37.2,54.3,46.3,31.0,45.2,38.6,161.0,D
Toyota,M6,2231.0,Diesel,7.6,5.3,6.2,37.2,53.3,45.6,31.0,44.4,38.0,163.0,D
Toyota,M5,1598.0,Petrol,9.5,6.4,7.5,29.7,44.1,37.7,24.7,36.7,31.4,178.0,E
Toyota,M5,1796.0,Petrol,9.9,6.5,7.7,28.5,43.5,36.7,23.7,36.2,30.6,184.0,E
Toyota,Multi5,1796.0,Petrol,9.4,6.4,7.5,30.1,44.1,37.7,25.1,36.7,31.4,179.0,E
Toyota,M6,2231.0,Diesel,8.0,5.3,6.3,35.3,53.3,44.8,29.4,44.4,37.3,167.0,E
Toyota,M6,2231.0,Diesel,8.5,5.8,6.8,33.2,48.7,41.5,27.6,40.6,34.6,178.0,E
Toyota,M5,1998.0,Petrol,11.0,7.2,8.6,25.7,39.2,32.8,21.4,32.6,27.3,202.0,F
Toyota,A4,1998.0,Petrol,11.6,7.4,9.0,24.4,38.2,31.4,20.3,31.8,26.1,212.0,F
Toyota,M6,2231.0,Diesel,8.4,6.1,7.0,33.6,46.3,40.4,28.0,38.6,33.6,185.0,E
Toyota,M6,2231.0,Diesel,8.1,5.6,6.6,34.9,50.4,42.8,29.1,42.0,35.6,173.0,E
Toyota,A5x2,3956.0,Petrol,16.7,9.8,12.4,16.9,28.8,22.8,14.1,24.0,19.0,291.0,G
Toyota,M6x2,2982.0,Diesel,11.1,7.9,9.1,25.4,35.8,31.0,21.1,29.8,25.8,240.0,G
Toyota,M6x2,2982.0,Diesel,11.2,8.0,9.2,25.2,35.3,30.7,21.0,29.4,25.6,243.0,G
Toyota,A5x2,2982.0,Diesel,11.5,7.5,9.0,24.6,37.7,31.4,20.5,31.4,26.1,238.0,G
Toyota,A6x2,4461.0,Diesel,12.0,9.1,10.2,23.5,31.0,27.7,19.6,25.8,23.1,270.0,G
Toyota,M5,2494.0,Diesel,10.7,7.1,8.4,26.4,39.8,33.6,22.0,33.1,28.0,221.0,F
Vauxhall,M5,998.0,Petrol,7.0,5.1,5.8,40.4,55.4,48.7,33.6,46.1,40.6,139.0,C
Vauxhall,M5,1229.0,Petrol,7.6,5.1,6.0,37.2,55.4,47.1,31.0,46.1,39.2,144.0,C
Vauxhall,M5,1991.0,Diesel,8.8,6.7,7.5,32.1,42.2,37.7,26.7,35.1,31.4,200.0,F
Vauxhall,M5,1991.0,Diesel,8.7,6.8,7.6,32.5,41.5,37.2,27.1,34.6,31.0,198.0,F
Vauxhall,A5,1991.0,Diesel,10.9,7.3,8.6,25.9,38.7,32.8,21.6,32.2,27.3,225.0,F
Vauxhall,M5,2405.0,Petrol,13.3,7.3,9.6,21.2,38.7,29.4,17.7,32.2,24.5,229.0,G
