Riding,Province,Candidate,Votes,Placement
Ahuntsic,Quebec,Jean-Olivier Berthiaume,299.0,6/6
Berthier—Maskinongé,Quebec,Martin Jubinville,373.0,6/6
Chicoutimi—Le Fjord,Quebec,Marielle Couture,340.0,6/6
Hochelaga,Quebec,Hugo Samson Veillette,246.0,6/8
Honoré-Mercier,Quebec,Valery Chevrefils-Latulippe,181.0,6/7
LaSalle—Émard,Quebec,Guillaume Berger-Richard,208.0,7/7
Laurier—Sainte-Marie,Quebec,François Yo Gourd,398.0,6/9
Outremont,Quebec,Tommy Gaudet,160.0,6/7
Rosemont—La Petite-Patrie,Quebec,Jean-Patrick Berthiaume,417.0,6/7
Sherbrooke,Quebec,Crédible Berlingot Landry,233.0,6/6
Trois-Rivières,Quebec,Francis Arsenault,256.0,7/7
Westmount—Ville-Marie,Quebec,Victoria Haliburton,140.0,6/7
Peace River,Alberta,Donovan Eckstrom,345.0,6/6
Cariboo—Prince George,British Columbia,Jordan Turner,204.0,7/7
