Num,Team,W,L,PCT,PF,PA,Last appearance,Last championship,HOME games,Home wins,Home losses,Home Win Pct.,ROAD games,Road wins,Road losses,Road Win Pct.
14.0,Dallas Cowboys,8.0,6.0,.571,317.0,264.0,1995.0,1995.0,5.0,4.0,1.0,.800,9.0,4.0,5.0,.444
14.0,San Francisco 49ers,6.0,8.0,.429,269.0,242.0,2012.0,2012.0,9.0,4.0,5.0,.444,5.0,2.0,3.0,.400
9.0,Los Angeles/ St. Louis Rams,3.0,6.0,.333,82.0,187.0,2001.0,2001.0,4.0,2.0,2.0,.500,5.0,1.0,4.0,.200
8.0,Minnesota Vikings,3.0,5.0,.375,136.0,175.0,2009.0,1976.0,3.0,2.0,1.0,.667,5.0,1.0,4.0,.200
6.0,Washington Redskins,5.0,1.0,.833,139.0,78.0,1991.0,1991.0,5.0,5.0,0.0,1.000,1.0,0.0,1.0,.000
6.0,Philadelphia Eagles,2.0,4.0,.333,109.0,119.0,2008.0,2004.0,4.0,2.0,2.0,.500,2.0,0.0,2.0,.000
5.0,New York Giants,5.0,0.0,1.000,116.0,50.0,2011.0,2011.0,2.0,2.0,0.0,1.000,3.0,3.0,0.0,1.000
5.0,Green Bay Packers,3.0,2.0,.600,121.0,98.0,2010.0,2010.0,2.0,1.0,1.0,.500,3.0,2.0,1.0,.667
5.0,Chicago Bears,2.0,3.0,.400,80.0,86.0,2010.0,2006.0,4.0,2.0,2.0,.500,1.0,0.0,1.0,.000
3.0,Atlanta Falcons,1.0,2.0,.333,64.0,82.0,2012.0,1998.0,1.0,0.0,1.0,.000,2.0,1.0,1.0,.500
3.0,Carolina Panthers,1.0,2.0,.333,41.0,67.0,2005.0,2003.0,0.0,0.0,0.0,—–,3.0,1.0,2.0,.333
3.0,Tampa Bay Buccaneers,1.0,2.0,.333,33.0,30.0,2002.0,2002.0,1.0,0.0,1.0,.000,2.0,1.0,1.0,.500
2.0,New Orleans Saints,1.0,1.0,.500,45.0,67.0,2009.0,2009.0,1.0,1.0,0.0,1.000,1.0,0.0,1.0,.000
1.0,Arizona Cardinals,1.0,0.0,1.000,32.0,25.0,2008.0,2008.0,1.0,1.0,0.0,1.000,0.0,0.0,0.0,—–
1.0,Seattle Seahawks b[› ],1.0,0.0,1.000,34.0,14.0,2005.0,2005.0,1.0,1.0,0.0,1.000,0.0,0.0,0.0,—–
