Position,Driver,Points,Winnings,Series
1.0,Mark Martin,72.0,"$225,000",NASCAR Winston Cup
2.0,Robby Gordon,63.0,"$100,000",Indy Car
3.0,Randy LaJoie,58.0,"$60,000",NASCAR Busch Series
4.0,"Al Unser, Jr.",57.0,"$50,000",Indy Car
5.0,Terry Labonte,43.0,"$45,000",NASCAR Winston Cup
6.0,Jeff Gordon,39.0,"$40,000",NASCAR Winston Cup
7.0,Dale Earnhardt,35.0,"$40,000",NASCAR Winston Cup
8.0,Dale Jarrett,34.0,"$40,000",NASCAR Winston Cup
9.0,Tommy Kendall,34.0,"$40,000",SCCA Trans-Am Series
10.0,Jimmy Vasser,30.0,"$40,000",Champcar
11.0,Darrell Waltrip,18.0,"$40,000",NASCAR Winston Cup
