LB&SC Number,Built,S.R. Number,Withdrawal,Notes
11.0,Cannot handle non-empty timestamp argument! 1907,2011.0,Cannot handle non-empty timestamp argument! 1933,I2
12.0,Cannot handle non-empty timestamp argument! 1908,2012.0,Cannot handle non-empty timestamp argument! 1935,I2
13.0,Cannot handle non-empty timestamp argument! 1908,2013.0,Cannot handle non-empty timestamp argument! 1939,"I2, became W.D. 72400 Earl Roberts"
14.0,Cannot handle non-empty timestamp argument! 1908,2014.0,Cannot handle non-empty timestamp argument! 1933,I2
15.0,Cannot handle non-empty timestamp argument! 1908,2015.0,Cannot handle non-empty timestamp argument! 1936,I2
16.0,Cannot handle non-empty timestamp argument! 1908,2016.0,Cannot handle non-empty timestamp argument! 1933,I2
17.0,Cannot handle non-empty timestamp argument! 1908,2017.0,Cannot handle non-empty timestamp argument! 1938,I2
18.0,Cannot handle non-empty timestamp argument! 1908,2018.0,Cannot handle non-empty timestamp argument! 1936,I2
19.0,Cannot handle non-empty timestamp argument! 1908,2019.0,Cannot handle non-empty timestamp argument! 1937,"I2, became W.D. 72401"
20.0,Cannot handle non-empty timestamp argument! 1908,2020.0,Cannot handle non-empty timestamp argument! 1936,I2
31.0,Cannot handle non-empty timestamp argument! 1908,2031.0,Cannot handle non-empty timestamp argument! 1936,I4
32.0,Cannot handle non-empty timestamp argument! 1908,2032.0,Cannot handle non-empty timestamp argument! 1937,I4
33.0,Cannot handle non-empty timestamp argument! 1908,2033.0,Cannot handle non-empty timestamp argument! 1937,I4
34.0,Cannot handle non-empty timestamp argument! 1908,2034.0,Cannot handle non-empty timestamp argument! 1940,I4
35.0,Cannot handle non-empty timestamp argument! 1909,2035.0,Cannot handle non-empty timestamp argument! 1937,I4
