Year,Entrant,Chassis,Engine,Points
1977.0,Team Surtees,Surtees TS19,Cosworth V8,5.0
1977.0,Theodore Racing Hong Kong,Ensign N177,Cosworth V8,5.0
1978.0,Marlboro Team McLaren,McLaren M26,Cosworth V8,8.0
1979.0,Löwenbräu Team McLaren,McLaren M28,Cosworth V8,0.0
1979.0,Marlboro Team McLaren,McLaren M28,Cosworth V8,0.0
1979.0,Marlboro Team McLaren,McLaren M26,Cosworth V8,0.0
1979.0,Marlboro Team McLaren,McLaren M29,Cosworth V8,0.0
1981.0,Theodore Racing Team,Theodore TY01,Cosworth V8,1.0
1981.0,Equipe Talbot Gitanes,Ligier JS17,Matra V12,1.0
1982.0,Scuderia Ferrari,Ferrari 126C2,Ferrari V6 t/c,25.0
1983.0,Scuderia Ferrari,Ferrari 126C2/B,Ferrari V6 t/c,40.0
1983.0,Scuderia Ferrari,Ferrari 126C3,Ferrari V6 t/c,40.0
1984.0,Equipe Renault Elf,Renault RE50,Renault V6 t/c,11.0
1985.0,Equipe Renault Elf,Renault RE60,Renault V6 t/c,11.0
1985.0,Equipe Renault Elf,Renault RE60B,Renault V6 t/c,11.0
1986.0,Team Haas (USA) Ltd.,Lola THL1,Hart Str-4 t/c,2.0
1986.0,Team Haas (USA) Ltd.,Lola THL2,Cosworth V6 t/c,2.0
