Rank,Nation,Gold,Silver,Bronze,Total
1,Netherlands,5.0,1.0,0.0,6.0
2,Georgia,3.0,0.0,0.0,3.0
3,Great Britain,2.0,2.0,3.0,7.0
4,Belgium,2.0,0.0,2.0,4.0
5,France,1.0,1.0,7.0,9.0
6=,Poland,1.0,0.0,1.0,2.0
6=,Spain,1.0,0.0,1.0,2.0
8,Estonia,1.0,0.0,0.0,1.0
9,Italy,0.0,3.0,3.0,6.0
10,Russia,0.0,2.0,4.0,6.0
11,Germany,0.0,2.0,3.0,5.0
12,Austria,0.0,1.0,2.0,3.0
13,Turkey,0.0,1.0,1.0,2.0
14=,Hungary,0.0,1.0,0.0,1.0
14=,Moldova,0.0,1.0,0.0,1.0
14=,Portugal,0.0,1.0,0.0,1.0
17=,Ukraine,0.0,0.0,2.0,2.0
17=,Romania,0.0,0.0,2.0,2.0
18,Czech Republic,0.0,0.0,1.0,1.0
