Club,Location,Stadium,Capacity,Current manager
Flora,Tallinn,A. Le Coq Arena,9300.0,Pasi Rautiainen
Kalju,Tallinn,Hiiu Stadium,500.0,Fredo Getulio
Levadia,Tallinn,Kadrioru Stadium,4750.0,Igor Prins
Maag Tammeka,Tartu,Tamme Stadium,2000.0,Sergei Zamogilnõi
Sillamäe Kalev,Sillamäe,Sillamäe Kalevi Stadium,2000.0,Vadym Dobizha
Tallinna Kalev,Tallinn,Kalevi Keskstaadion,12000.0,Aavo Sarap
Trans,Narva,Kreenholmi Stadium,3000.0,Aleksei Yagudin
Tulevik,Viljandi,Viljandi linnastaadion,2500.0,Marko Lelov
TVMK,Tallinn,Kadrioru Stadium,4750.0,Sergei Ratnikov
Vaprus,Pärnu,Pärnu Kalevi Stadium,1900.0,Ants Kommussaar
