Rank,Name,Headquarters,Revenue €Million,Profit €Million,Employees (World)
1.0,Volkswagen AG,Wolfsburg,108897.0,4120.0,329305.0
2.0,Daimler AG,Stuttgart,99399.0,3985.0,272382.0
3.0,Siemens AG,Munich /Berlin,72488.0,3806.0,398200.0
4.0,E.ON AG,Düsseldorf,68731.0,7204.0,87815.0
5.0,Metro AG,Düsseldorf,64337.0,825.0,242378.0
6.0,Deutsche Post AG,Bonn,63512.0,1389.0,475100.0
7.0,Deutsche Telekom AG,Bonn,62516.0,569.0,241426.0
8.0,BASF SE,Ludwigshafen,57951.0,4065.0,95175.0
9.0,BMW AG,Munich,56018.0,3126.0,107539.0
10.0,ThyssenKrupp AG,Essen / Duisburg,51723.0,2102.0,191350.0
