Date,Stadium,Winners,Runners-up,Score,Attendance
"June 1, 1991",Waldstadion - Limbach-Oberfrohna,SpVgg Zschopau,FC Wismut Aue II,4–1,150.0
"May 22, 1992",Stadion der Jugend - Kamenz,Bischofswerdaer FV 08,FSV Hoyerswerda,2–0,1600.0
"June 2, 1993",Alfred-Kunze-Sportpark - Leipzig,FC Sachsen Leipzig,Dresdner SC,2–0,2070.0
"May 25, 1994",Alfred- Kunze- Sportpark - Leipzig,FC Sachsen Leipzig,VFC Plauen,2–1,2400.0
"June 7, 1995",Alfred- Kunze- Sportpark - Leipzig,FC Sachsen Leipzig,Dynamo Dresden II,2–0,1800.0
"June 5, 1996",Stadion an der Gellertstraße - Chemnitz,VfB Leipzig II,Chemnitzer FC II,2–1 aet,530.0
"May 7, 1997",Stadion an der Gellertstraße - Chemnitz,Chemnitzer FC,Dresdner SC,3–0,3002.0
"May 16, 1998",Stadion an der Gellertstraße - Chemnitz,Chemnitzer FC,FC Erzgebirge Aue,"1–1 aet, 5–4 pen.",7300.0
"May 2, 1999",Vogtlandstadion - Plauen,VFC Plauen,FC Erzgebirge Aue,"0–0 aet, 4–3 pen.",8000.0
"May 28, 2000",Erzgebirgsstadion - Aue,FC Erzgebirge Aue,VfB Leipzig,"2–2 aet, 5–3 pen.",7500.0
"May 16, 2001",Westsachsenstadion - Zwickau,FC Erzgebirge Aue,FSV Zwickau,3–1,6691.0
"May 31, 2002",Westsachsenstadion - Zwickau,FC Erzgebirge Aue,FSV Zwickau,"1–1 aet, 5–4 pen.",7519.0
"May 10, 2003",Vogtlandstadion - Plauen,Dynamo Dresden,VFC Plauen,3–2,10400.0
"April 28, 2004",Vogtlandstadion - Plauen,VFC Plauen,Dynamo Dresden,1–0,8649.0
"May 4, 2005",Zentralstadion - Leipzig,FC Sachsen Leipzig,Chemnitzer FC,2–1 aet,8592.0
"June 3, 2006",Vogtlandstadion - Plauen,Chemnitzer FC,VFC Plauen,1–0,4148.0
"June 10, 2007",Erzgebirgsstadion - Aue,Dynamo Dresden,Erzgebirge Aue II,2–0,7123.0
"April 30, 2008",Stadion an der Gellertstraße - Chemnitz,Chemnitzer FC,FC Sachsen Leipzig,1–0,7750.0
"June 17, 2009",Zentralstadion - Leipzig,Dynamo Dresden II,VFC Plauen,2–1 aet,6000.0
"May 14, 2010",Stadion an der Gellertstraße - Chemnitz,Chemnitzer FC,FC Erzgebirge Aue,3–2,9670.0
"June 1, 2011",Red Bull Arena - Leipzig,RB Leipzig,Chemnitzer FC,1–0,13958.0
"May 16, 2012",Stadion auf dem Pfaffenberg - Hohenstein-Ernstthal,Chemnitzer FC,VfL 05 Hohenstein-Ernstthal,5–4 aet,4500.0
"May 15, 2013",Red Bull Arena - Leipzig,RB Leipzig,Chemnitzer FC,4–2,16864.0
