County,Per capita income,Median household income,Median family income,Population,Number of households
Clackamas,"$31,785","$62,007","$74,905",375992.0,145790.0
Washington,"$30,522","$62,574","$76,778",529710.0,200934.0
Multnomah,"$28,883","$49,618","$62,956",735334.0,304540.0
Deschutes,"$27,920","$53,071","$61,605",157733.0,64090.0
United States,"$27,334","$51,914","$62,982",308745538.0,116716292.0
Benton,"$26,177","$48,012","$71,763",85579.0,34317.0
Oregon,"$26,171","$49,260","$60,402",3831074.0,1518938.0
Gilliam,"$25,559","$42,148","$52,885",1871.0,864.0
Clatsop,"$25,347","$42,223","$52,339",37039.0,15742.0
Columbia,"$24,613","$55,199","$62,728",49351.0,19183.0
Jackson,"$24,410","$44,142","$53,739",203206.0,83076.0
Lincoln,"$24,354","$39,738","$52,730",46034.0,20550.0
Polk,"$24,345","$50,975","$61,418",75403.0,28288.0
Yamhill,"$24,017","$52,485","$61,524",99193.0,34726.0
Hood River,"$23,930","$51,307","$57,644",22346.0,8173.0
Lane,"$23,869","$42,923","$55,817",351715.0,145966.0
Curry,"$23,842","$37,469","$53,340",22364.0,10417.0
Wallowa,"$23,023","$41,116","$49,961",7008.0,3133.0
Union,"$22,947","$42,162","$52,558",25748.0,10501.0
Tillamook,"$22,824","$39,412","$50,779",25250.0,10834.0
Lake,"$22,586","$41,105","$47,188",7895.0,3378.0
Crook,"$22,275","$46,059","$52,477",20978.0,8558.0
Linn,"$22,165","$45,832","$55,320",116672.0,45204.0
Klamath,"$22,081","$41,818","$51,596",66380.0,27280.0
Grant,"$22,041","$35,974","$43,521",7445.0,3352.0
Coos,"$21,981","$37,491","$46,569",63043.0,27133.0
Wasco,"$21,922","$42,133","$50,279",25213.0,10031.0
Marion,"$21,915","$46,069","$54,661",315335.0,112957.0
Sherman,"$21,688","$41,354","$52,361",1765.0,777.0
Baker,"$21,683","$39,704","$50,507",16134.0,7040.0
Josephine,"$21,539","$38,035","$48,180",82713.0,34646.0
Douglas,"$21,342","$39,711","$48,729",107667.0,44581.0
Harney,"$20,849","$39,036","$46,626",7422.0,3205.0
Wheeler,"$20,598","$33,403","$43,167",1441.0,651.0
Morrow,"$20,201","$43,902","$49,868",11173.0,3916.0
Umatilla,"$20,035","$45,861","$53,585",75889.0,26904.0
Jefferson,"$20,009","$41,425","$48,818",21720.0,7790.0
Malheur,"$16,335","$39,144","$46,136",31313.0,10411.0
