Heat,Lane,Name,Nationality,Time
7.0,4.0,Ian Thorpe,Australia,1:46.56
6.0,4.0,Pieter van den Hoogenband,Netherlands,1:46.71
7.0,5.0,Massimiliano Rosolino,Italy,1:47.37
5.0,4.0,Josh Davis,United States,1:48.43
7.0,6.0,Rick Say,Canada,1:48.62
5.0,3.0,James Salter,Great Britain,1:48.77
6.0,2.0,Igor Koleda,Belarus,1:49.01
7.0,3.0,Scott Goldblatt,United States,1:49.05
6.0,5.0,Grant Hackett,Australia,1:49.23
5.0,8.0,Örn Arnarson,Iceland,1:49.78
5.0,5.0,Paul Palmer,Great Britain,1:49.83
5.0,7.0,Stefan Herbst,Germany,1:49.84
7.0,2.0,Andrey Kapralov,Russia,1:49.92
6.0,7.0,Stefan Pohl,Germany,1:50.07
6.0,6.0,Béla Szabados,Hungary,1:50.10
5.0,1.0,Attila Zubor,Hungary,1:50.11
7.0,8.0,Dragoş Coman,Romania,1:50.20
7.0,1.0,Květoslav Svoboda,Czech Republic,1:50.29
6.0,8.0,Martijn Zuijdweg,Netherlands,1:50.37
5.0,6.0,Jacob Carstensen,Denmark,1:50.41
5.0,2.0,Mark Johnston,Canada,1:50.92
4.0,5.0,Arūnas Savickas,Lithuania,1:52.02
2.0,5.0,Mark Chay,Singapore,1:52.22
4.0,7.0,Rostyslav Svanidze,Ukraine,1:52.35
4.0,6.0,Ricardo Pedroso,Portugal,1:52.60
4.0,1.0,Mark Kwok Kin Ming,Hong Kong,1:52.71
3.0,5.0,Damian Alleyne,Barbados,1:52.75
4.0,4.0,Dmitri Kuzmin,Kyrgyzstan,1:52.93
3.0,2.0,Woo Chul,South Korea,1:53.02
3.0,3.0,Javier Díaz,Mexico,1:53.20
4.0,3.0,Andrei Cecan,Moldova,1:53.23
3.0,1.0,Jonathan Duncan,New Zealand,1:53.27
4.0,2.0,Rodrigo Castro,Brazil,1:53.65
3.0,4.0,Fernando Jácome,Colombia,1:54.17
3.0,7.0,Francisco Paez,Venezuela,1:54.32
6.0,3.0,Dimitrios Manganas,Greece,1:54.36
2.0,2.0,Allen Ong,Malaysia,1:54.53
3.0,8.0,Wu Nien-Pin,Chinese Taipei,1:54.58
2.0,7.0,George Gleason,Virgin Islands,1:54.64
4.0,8.0,Glen Walshaw,Zimbabwe,1:54.70
2.0,3.0,Nikola Kalabić,Yugoslavia,1:54.75
2.0,8.0,Aytekin Mindan,Turkey,1:54.86
3.0,6.0,Vicha Ratanachote,Thailand,1:54.91
1.0,3.0,Oleg Tsvetkovskiy,Uzbekistan,1:54.93
2.0,1.0,Carl Probert,Fiji,1:54.98
1.0,5.0,Mahmoud El-Wany,Egypt,1:55.19
1.0,4.0,Sebastien Paddington,Trinidad and Tobago,1:55.40
2.0,4.0,Andrey Kvassov,Kazakhstan,1:55.72
2.0,6.0,Alexandros Aresti,Cyprus,1:57.54
1.0,6.0,Hakimuddin Shabbir Habibulla,India,1:58.35
1.0,2.0,Santiago Deu,Andorra,1:59.31
6.0,3.0,Ryk Neethling,South Africa,DNS
7.0,7.0,Dmitry Chernyshov,Russia,DNS
