Name,Country of Origin,Position,Elected,Term
Catherine Dupe Atoki,Nigeria,Chairperson,2007.0,2013.0
Reine Alapini-Gansou,Benin,Member,2005.0,2011.0
Prof. Pacifique Manirakiza,Burundi,Member,2011.0,2017.0
Med Kaggwa,Uganda,Member,2011.0,2017.0
Faith Pansy Tlakula,South Africa,Member,2005.0,2011.0
Zainabo Sylvie Kayitesi,Rwanda,Vice Chairperson,2007.0,2009.0
Soyata Maiga,Mali,Member,2007.0,2013.0
Yeung Kam John Yeung Sik Yuen,Mauritius,Member,2007.0,2013.0
Lucy Asuagbor,Cameroon,Member,2010.0,2013.0
Mohamed Khalfallah,Tunisia,Member,2009.0,2015.0
Maya Sahli Fadel,Algeria,Member,2011.0,2017.0
