RANK,NAME,TEAM,COUNTRY,POINTS
1.0,Roberto Baggio,Juventus FC,Italy,152.0
2.0,"""Romario""",PSV - FC Barcelona,Brazil,84.0
3.0,Dennis Bergkamp,Ajax - FC Internazionale,Netherlands,58.0
4.0,Peter SCHMEICHEL,Manchester United FC,Denmark,29.0
5.0,Hristo STOITCHKOV,FC Barcelona,Bulgaria,22.0
6.0,Faustino Asprilla,Parma AC,Colombia,21.0
7.0,""" Bebeto """,RC Deportivo La Coruna,Brazil,16.0
8.0,Ronald KOEMAN,FC Barcelona,Netherlands,15.0
9.0,Anthony YEBOAH,Eintracht Frankfurt,Ghana,13.0
10.0,RAÍ Souza Vieira de Oliveira,Paris Saint-Germain F.C.,Brazil,12.0
