Song title,Artist,Decade,Choreographer,Rating,Difficulty (Out of 7),Character,DC2 Character,DC3 Venue,Crew
""" Body Movin' ( Fatboy Slim Remix)""",Beastie Boys,1990s,Marcos Aguirre,Off The Hook,7.0,Oblio,Bodie,Toprock Avenue,Lu$h Crew
""" Brick House """,The Commodores,1970s,Ricardo Foster,Off The Hook,7.0,Maccoy,Glitch,Free Skate,Riptide
""" Bust a Move """,Young MC,1980s,Devin Woolridge,Hardcore,6.0,Mo,Mo,Toprock Avenue,Riptide
""" C'mon N' Ride It (The Train) """,Quad City DJ's,1990s,Chanel Thompson,Simple,2.0,Dare,Lil' T,Invite Only,Hi - Def
""" Can't Get You Out of My Head """,Kylie Minogue,2000s,Frenchy Hernandez,Simple,2.0,Miss Aubrey,Miss Aubrey,Studio 675,Hi - Def
""" Crank That (Soulja Boy) """,Soulja Boy Tell 'Em,2000s,Devin Woolridge,Moderate,3.0,Mo,Mo,Toprock Avenue,Flash4wrd
""" Days Go By """,Dirty Vegas,2000s,Ricardo Foster,Hardcore,6.0,Maccoy,Glitch,Studio 675,DCI
""" Dip It Low """,Christina Milian,2000s,Frenchy Hernandez,Tough,4.0,Taye,Taye,Studio 675,Hi - Def
""" Don't Sweat the Technique """,Eric B. & Rakim,1990s,Devin Woolridge,Off The Hook,7.0,Maccoy,Glitch,Studio 675,The Glitterati
""" Down """,Jay Sean,2000s,Marcos Aguirre,Moderate,3.0,Angel,Angel,Studio 675,Ninja Crew
""" Drop It Like It's Hot """,Snoop Dogg feat. Pharrell Williams,2000s,Frenchy Hernandez,Off The Hook,7.0,Taye,Taye,Studio 675,M.O.C.
""" Evacuate the Dancefloor """,Cascada,2000s,Marcos Aguirre,Warmup,1.0,Emilia,Emilia,Studio 675,M.O.C.
""" Flava In Ya Ear (Remix) """,Craig Mack,1990s,Frenchy Hernandez,Legit,5.0,Taye,Taye,Invite Only,M.O.C.
""" Funkytown """,Lipps Inc,1980s,Marcos Aguirre,Simple,2.0,Miss Aubrey,Miss Aubrey,Free Skate,Riptide
""" Galang """,M.I.A.,2000s,Frenchy Hernandez,Simple,2.0,Dare,Lil' T,Studio 675,Riptide
""" Hella Good """,No Doubt,2000s,Marcos Aguirre,Tough,4.0,Oblio,Bodie,Studio 675,M.O.C.
""" Hey Mami """,FannyPack,2000s,Marcos Aguirre,Warmup,1.0,Miss Aubrey,Miss Aubrey,Toprock Avenue,Riptide
""" I Know You Want Me (Calle Ocho) """,Pitbull,2000s,Marcos Aguirre,Warmup,1.0,Angel,Angel,DCI HQ,M.O.C.
""" Jungle Boogie """,Kool & the Gang,1970s,Ricardo Foster,Moderate,3.0,Maccoy,Glitch,Free Skate,Riptide
""" Just Dance """,Lady Gaga ft. Colby O'Donis,2000s,Marcos Aguirre,Off The Hook,7.0,Dare,Lil' T,Crow's Nest,Riptide
""" King of the Dancehall """,Beenie Man,2000s,Marcos Aguirre,Tough,4.0,Angel,Angel,Crow's Nest,M.O.C.
""" Maneater """,Nelly Furtado,2000s,Frenchy Hernandez,Legit,5.0,Emilia,Emilia,Studio 675,M.O.C.
""" Move Ya Body """,Nina Sky,2000s,Frenchy Hernandez,Tough,4.0,Emilia,Emilia,Studio 675,Riptide
""" Poison """,Bell Biv DeVoe,1990s,Devin Woolridge,Legit,5.0,Angel,Angel,Invite Only,Riptide
""" Poker Face """,Lady Gaga,2000s,Marcos Aguirre,Warmup,1.0,Mo,Mo,Studio 675,Riptide
""" Pon de Replay """,Rihanna,2000s,Frenchy Hernandez,Moderate,3.0,Emilia,Emilia,Studio 675,M.O.C.
""" Pump Up the Jam """,Technotronic,1980s,Marcos Aguirre,Hardcore,6.0,Dare,Lil' T,Toprock Avenue,M.O.C.
""" Push It """,Salt-n-Pepa,1980s,Frenchy Hernandez,Legit,5.0,Taye,Taye,Toprock Avenue,Riptide
""" Rendez-Vu """,Basement Jaxx,1990s,Frenchy Hernandez,Tough,4.0,Miss Aubrey,Miss Aubrey,Invite Only,M.O.C.
""" Rump Shaker """,Wreckx-n-Effect,1990s,Marcos Aguirre,Moderate,3.0,Oblio,Bodie,Invite Only,Riptide
""" Satisfaction """,Benny Benassi,2000s,Marcos Aguirre,Hardcore,6.0,Oblio,Bodie,Studio 675,Riptide
