Municipality,Inhabitants,Mayor,Party,Election
Milan,1324110.0,Giuliano Pisapia,Left Ecology Freedom,2011.0
Brescia,193879.0,Emilio Del Bono,Democratic Party,2013.0
Monza,122712.0,Roberto Scanagatti,Democratic Party,2012.0
Bergamo,119551.0,Franco Tentorio,The People of Freedom,2009.0
Como,85263.0,Mario Lucini,Democratic Party,2012.0
Busto Arsizio,81760.0,Gianluigi Farioli,The People of Freedom,2011.0
Varese,81579.0,Attilio Fontana,Lega Lombarda,2011.0
Sesto San Giovanni,81130.0,Monica Chittò,Democratic Party,2012.0
Cinisello Balsamo,74150.0,Daniela Gasparini,Democratic Party,2009.0
Cremona,72147.0,Oreste Perri,The People of Freedom,2009.0
Pavia,71142.0,Alessandro Cattaneo,The People of Freedom,2009.0
Vigevano,63700.0,Andrea Sala,Lega Lombarda,2010.0
Legnano,59147.0,Alberto Centinaio,Democratic Party,2012.0
Gallarate,51751.0,Edoardo Guenzani,Democratic Party,2011.0
Rho,50686.0,Pietro Romano,Democratic Party,2011.0
