Province,Number of Dairy Farms,Number of Dairy Cows,Production (hectolitres),Dairy Cows per Farm,Production (hectolitres) per Farm
British Columbia,512.0,70500.0,6766330.0,138.0,13215.0
Alberta,592.0,90000.0,6603623.0,152.0,11155.0
Saskatchewan,182.0,30000.0,2304452.0,165.0,12662.0
Manitoba,344.0,44500.0,3213844.0,129.0,9343.0
Ontario,4137.0,322000.0,25385472.0,78.0,6136.0
Quebec,6281.0,366000.0,28958369.0,58.0,4610.0
New Brunswick,219.0,18700.0,1335831.0,85.0,6100.0
Nova Scotia,245.0,22500.0,1700045.0,92.0,6939.0
Prince Edward Island,200.0,13000.0,1005675.0,65.0,5028.0
Newfoundland & Labrador,34.0,5900.0,476783.0,174.0,14023.0
