Player,Matches,Innings,Not Out,Runs,High Score,Average,Strike Rate,100s
Anthony McGrath,9.0,9.0,2.0,392.0,72*,56.00,132.43,0.0
Jacques Rudolph,9.0,8.0,1.0,191.0,56,27.29,129.05,0.0
Darren Gough,9.0,4.0,3.0,26.0,20*,26.00,136.84,0.0
Gerard Brophy,9.0,9.0,1.0,177.0,57*,22.13,113.46,0.0
Andrew Gale,9.0,9.0,2.0,106.0,45,15.14,86.18,0.0
Michael Vaughan,7.0,7.0,0.0,104.0,34,14.86,138.67,0.0
Craig White,2.0,2.0,0.0,26.0,26,13.00,92.86,0.0
Tim Bresnan,9.0,8.0,3.0,58.0,15,11.60,85.29,0.0
Chris Taylor,2.0,2.0,1.0,10.0,10*,10.00,111.11,0.0
Simon Guy,4.0,2.0,0.0,11.0,7,5.50,78.57,0.0
Richard Pyrah,9.0,5.0,2.0,16.0,8,5.33,114.29,0.0
Adil Rashid,8.0,6.0,2.0,18.0,10,4.50,94.74,0.0
Adam Lyth,1.0,1.0,0.0,0.0,0,0.00,0.00,0.0
David Wainwright,2.0,1.0,1.0,3.0,3*,N/A,33.33,0.0
Matthew Hoggard,9.0,0.0,0.0,0.0,0,N/A,N/A,0.0
Azeem Rafiq,1.0,0.0,0.0,0.0,0,N/A,N/A,0.0
Total Batting,99.0,73.0,18.0,1138.0,72*,20.69,116.00,0.0
