Year,Entrant,Chassis,Engine,Pts.
1978.0,Olympus Cameras / Hesketh Racing,Hesketh 308E,Ford V8,1.0
1978.0,Team Tissot Ensign,Ensign N177,Ford V8,1.0
1979.0,Team Ensign,Ensign N177,Ford V8,0.0
1979.0,Team Ensign,Ensign N179,Ford V8,0.0
1979.0,Candy Tyrrell Team,Tyrrell 009,Ford V8,0.0
1980.0,Candy Tyrrell Team,Tyrrell 009,Ford V8,6.0
1980.0,Candy Tyrrell Team,Tyrrell 010,Ford V8,6.0
1981.0,March Grand Prix Team,March 811,Ford V8,0.0
1982.0,Theodore Racing Team,Theodore TY01,Ford V8,8.0
1982.0,Theodore Racing Team,Theodore TY02,Ford V8,8.0
1982.0,TAG Williams Team,Williams FW08,Ford V8,8.0
