Pick #,NFL Team,Player,Position,College
57.0,Baltimore Colts,George Achica,Nose Tackle,Southern California
58.0,Houston Oilers,Tim Joiner,Linebacker,Louisiana State
59.0,San Francisco 49ers,Blanchard Montgomery,Linebacker,UCLA
60.0,Denver Broncos,Clint Sampson,Wide Receiver,San Diego State
61.0,Kansas City Chiefs,Albert Lewis,Cornerback,Grambling
62.0,Philadelphia Eagles,Glen Young,Wide Receiver,Mississippi State
63.0,New York Giants,Jamie Williams,Tight End,Nebraska
64.0,Chicago Bears,Dave Duerson,Safety,Notre Dame
65.0,New Orleans Saints,John Tice,Tight End,Maryland
66.0,New Orleans Saints,Cliff Austin,Running Back,Clemson
67.0,Detroit Lions,Mike Cofer,Linebacker,Tennessee
68.0,Cleveland Browns,Reggie Camp,Defensive End,California
69.0,Houston Oilers,Chris Dressel,Tight End,Stanford
70.0,New York Giants,Karl Nelson,Tackle,Iowa State
71.0,St. Louis,Ramsey Dardar,Defensive Tackle,Louisiana State
72.0,Tampa Bay Buccaneers,Jeremiah Castille,Defensive Back,Alabama
73.0,Minnesota Vikings,Walker Lee Ashley,Linebacker,Penn State
74.0,New England Patriots,Stephen Starring,Wide Receiver,McNeese State
75.0,Atlanta Falcons,Andrew Provence,Nose Tackle,South Carolina
76.0,Miami Dolphins,Charles Benson,Defensive End,Baylor
77.0,Dallas Cowboys,Bryan Caldwell,Defensive End,Arizona State
78.0,New York Jets,JoJo Townsell,Wide Receiver,UCLA
79.0,Pittsburgh Steelers,Todd Seabaugh,Linebacker,San Diego State
80.0,New England Patriots,Steve Moore,Guard,Tennessee State
81.0,Cincinnati Bengals,Jim Turner,Defensive Back,UCLA
82.0,Los Angeles Raiders,Tony Caldwell,Linebacker,Washington
83.0,Houston Oilers,Steve Brown,Cornerback,Oregon
