Year,Network,Play-by-play,Colour commentator(s),Studio host
1999.0,CBC,Bob Cole,Harry Neale,Ron MacLean
1998.0,CBC,Bob Cole,Harry Neale,Ron MacLean
1997.0,CBC,Bob Cole,Harry Neale,Ron MacLean
1996.0,CBC,Bob Cole,Harry Neale,Ron MacLean
1995.0,Canceled due to 1994–95 NHL lockout .,Canceled due to 1994–95 NHL lockout .,Canceled due to 1994–95 NHL lockout .,Canceled due to 1994–95 NHL lockout .
1994.0,CBC,Bob Cole,"Harry Neale and Dick Irvin, Jr.",Ron MacLean
1993.0,TSN,Jim Hughson,Gary Green,John Wells
1992.0,TSN,Jim Hughson,Gary Green,John Wells
1991.0,TSN,Jim Hughson,Gary Green,John Wells
1990.0,TSN,Jim Hughson,Gary Green,Jim Van Horne
