Country,First store,Hypermarkets,Supermarkets,Hard Discounters,Cash & Carry
India,2010,5.0,–,–,1 2
China,1995,223.0,–,–,–
Indonesia,1998,70.0,15,–,–
Bahrain,2008,1.0,–,–,–
Japan,2000,7.0,–,–,–
Jordan,2006,1.0,3,–,–
Kuwait,2007,2.0,–,–,–
Lebanon,2013,1.0,–,–,–
Malaysia,1994,26.0,5,–,–
Oman,2000,4.0,–,–,–
Pakistan,2009,2.0,–,–,–
Iran,2009,2.0,–,–,–
Iraq,2012,1.0,–,–,–
Qatar,2000,3.0,1,–,–
Saudi Arabia,2004,11.0,1,–,–
Syria,2009,1.0,–,–,–
Taiwan,1989,70.0,–,–,–
Thailand,1996-2011,0.0,0,0,0
United Arab Emirates,1995,11.0,2,–,–
