Country,Contestant,Age,Height (cm),Height (ft),Hometown
Argentina,Lucía Ugarte,20.0,162.0,"5'1""",Buenos Aires
Aruba,Tracey Nicolaas,19.0,172.0,"5'8""",Tanki Leendert
Bolivia,Jessica Jordan,22.0,175.0,"5'9""",Santa Cruz
Brazil,Loraine Navarro,21.0,179.0,"5'11""",Araraquara
Canada,Elena Semikina,24.0,182.0,"6'0""",Toronto
Chile,Romina Piña,22.0,170.0,"5'7""",Ñuñoa
Colombia,Ludivia Díaz,20.0,171.0,"5'7""",Florencia
Dominican Republic,Claudia Peña,20.0,178.0,"5'10""",Bonao
El Salvador,Gabriela Echeverría,20.0,173.0,"5'8""",Sensuntepeque
Germany,Svetlana Tsys,18.0,181.0,"5'11""",Berlin
Guatemala,Hamy Tejeda,23.0,177.0,"5'10""",Guatemala City
Honduras,Alejandra Mendoza,17.0,175.0,"5'9""",El Progreso
Mexico,Georgina Holguín,22.0,175.0,"5'9""",Chihuahua
Panama,Ginelle Saldaña,23.0,175.0,"5'9""",Panama City
Paraguay,Karen Alvarez,24.0,180.0,"5'11""",Ciudad del Este
Peru,Yolanda Raygada,23.0,172.0,"5'8""",Lima
Puerto Rico,Yesenia Avilés,23.0,180.0,"5'11""",Arecibo
Spain,Cintia Martínez,21.0,175.0,"5'9""",Barcelona
Uruguay,Camila Fernández,18.0,180.0,"5'11""",Salto
United States,Katherine Cartagena,18.0,175.0,"5'9""",New York
