Driver,Constructor,Laps,Time/Retired,Grid
Jackie Stewart,Tyrrell - Ford,80.0,1:43:17.1,5.0
Peter Revson,McLaren - Ford,80.0,+ 48.2,1.0
Denny Hulme,McLaren - Ford,80.0,+ 54.6,2.0
Carlos Reutemann,Brabham - Ford,80.0,+ 1:00.7,9.0
Clay Regazzoni,Ferrari,80.0,+ 1:07.0,7.0
Chris Amon,Matra,79.0,+ 1 Lap,10.0
Tim Schenken,Surtees - Ford,79.0,+ 1 Lap,13.0
Graham Hill,Brabham - Ford,79.0,+ 1 Lap,17.0
Carlos Pace,March - Ford,78.0,Out of Fuel,18.0
Howden Ganley,BRM,78.0,+ 2 Laps,14.0
Emerson Fittipaldi,Lotus - Ford,78.0,+ 2 Laps,4.0
Jacky Ickx,Ferrari,76.0,+ 4 laps,8.0
Henri Pescarolo,March - Ford,73.0,+ 7 Laps,21.0
Reine Wisell,Lotus - Ford,65.0,Engine,16.0
Niki Lauda,March - Ford,64.0,Received outside assistance,19.0
Ronnie Peterson,March - Ford,61.0,Push-start after collision,3.0
Mike Beuttler,March - Ford,59.0,Not Classified,24.0
François Cevert,Tyrrell - Ford,51.0,Gearbox,6.0
Peter Gethin,BRM,25.0,Suspension,12.0
Skip Barber,March - Ford,24.0,Not Classified,22.0
Jean-Pierre Beltoise,BRM,21.0,Oil Leak,20.0
Bill Brack,BRM,20.0,Spun Off,23.0
Wilson Fittipaldi,Brabham - Ford,5.0,Gearbox,11.0
Andrea de Adamich,Surtees - Ford,2.0,Gearbox,15.0
