Team,Driver,Laps,Time,Grid
New Zealand,Jonny Reid,38.0,1:10'34.700,7.0
Netherlands,Jeroen Bleekemolen,38.0,+7.146,1.0
Switzerland,Neel Jani,38.0,+12.277,4.0
China,Cong Fu Cheng,38.0,+12.723,5.0
France,Nicolas Lapierre,38.0,+19.439,8.0
Ireland,Adam Carroll,38.0,+24.348,18.0
Brazil,Sérgio Jimenez,38.0,+29.625,6.0
Germany,Christian Vietoris,38.0,+37.949,9.0
India,Narain Karthikeyan,38.0,+38.385,11.0
Italy,Enrico Toccacelo,38.0,+49.406,12.0
Canada,James Hinchcliffe,38.0,+51.531,10.0
Czech Republic,Erik Janis,38.0,+57.799,17.0
Australia,Ian Dyk,38.0,+1'02.548,14.0
Malaysia,Alex Yoong,38.0,+1'03.238,22.0
USA,Buddy Rice,38.0,+1'22.790,20.0
South Africa,Adrian Zaugg,38.0,+1'23.100,2.0
Great Britain,Robbie Kerr,38.0,+1'23.733,3.0
Portugal,João Urbano,38.0,+1'24.918,16.0
Indonesia,Satrio Hermanto,38.0,+1'25.337,15.0
Pakistan,Adam Langley-Khan,38.0,+1'31.515,19.0
Lebanon,Khalil Beschir,37.0,+1 Lap,21.0
Mexico,Michel Jourdain Jr.,37.0,+1 Lap,13.0
