English Name,Simplified,Traditional,Pinyin,Area,Population,Density
Xinzhou District,信州区,信州區,Xìnzhōu Qū,339.0,416219.0,1228.0
Dexing City,德兴市,德興市,Déxīng Shì,2101.0,293202.0,140.0
Shangrao County,上饶县,上饒縣,Shàngráo Xiàn,2240.0,700266.0,313.0
Guangfeng County,广丰县,廣豐縣,Guǎngfēng Xiàn,1378.0,752939.0,546.0
Yushan County,玉山县,玉山縣,Yùshān Xiàn,1728.0,574363.0,332.0
Yanshan County,铅山县,鉛山縣,Yánshān Xiàn,2178.0,427000.0,196.0
Hengfeng County,横峰县,橫峰縣,Héngfēng Xiàn,655.0,184870.0,282.0
Yiyang County,弋阳县,弋陽縣,Yìyáng Xiàn,1593.0,353378.0,222.0
Yugan County,余干县,餘干縣,Yúgān Xiàn,2331.0,887603.0,381.0
Poyang County,鄱阳县,鄱陽縣,Póyáng Xiàn,4215.0,1296756.0,308.0
Wannian County,万年县,萬年縣,Wànnián Xiàn,1141.0,359098.0,315.0
