Series Ep.,Episode,Segment A,Segment B,Segment C,Segment D
20-01,248.0,Native Healing Drums,s Raisin,Stereoscopic Viewers,Ribbon Microphones
20-02,249.0,Horse Bits,Oat Cereal,Turquoise Jewellery,Electric Scooters
20-03,250.0,Nail Nippers,Jade Putters,Ice Cider,Water Skis
20-04,251.0,es Stagecoach,Road Reflectors,Fire Baked Pottery,Custom Motorcycle Tanks
20-05,252.0,Replica Clay Pipes,Drinking Fountains,Orange Liqueur,Compound Bows
20-06,253.0,Tissues,Travel Trailers,s Slipper,Motorcycle Helmets
20-07,254.0,U-Locks,Tepees,s Croissant,Rolling Luggage
20-08,255.0,Prams,Factory-Built Homes,Wood Flutes,Bicycle Tires
20-09,256.0,Thinning Shears,Wagon Wheels,Toaster Pastries,Violin Bows
20-10,257.0,Cast Iron Tubs,Hopi Kachina Dolls,Mine Truck Engine Rebuild,Memory Cards
20-11,258.0,Cycling Shoes,s Yurt,Marine Plywood,Oil & Encaustic Paint
20-12,259.0,Paper Fans,Walnut Oil,Copper (Part 1),Copper (Part 2)
20-13,260.0,Gut Strings,Absinthe,Belt Buckles,Lever Locks
