Position,Team,Played,Wins,Draws,Losses,Scored,Conceded,Points
1.0,Cerro Porteño,10.0,7.0,1.0,2.0,25.0,8.0,22.0
2.0,Sportivo Luqueño,10.0,5.0,3.0,2.0,22.0,14.0,18.0
3.0,Olimpia,10.0,4.0,5.0,1.0,13.0,9.0,17.0
4.0,San Lorenzo,10.0,3.0,7.0,0.0,11.0,8.0,16.0
5.0,12 de Octubre,10.0,3.0,7.0,0.0,16.0,10.0,16.0
6.0,Guaraní,10.0,2.0,6.0,2.0,13.0,15.0,12.0
7.0,* Presidente Hayes,10.0,2.0,6.0,2.0,6.0,8.0,12.0
8.0,Atl. Colegiales,10.0,2.0,3.0,5.0,9.0,12.0,9.0
9.0,Cerro Corá,10.0,2.0,3.0,5.0,10.0,16.0,9.0
10.0,Sol de América,10.0,1.0,3.0,6.0,5.0,13.0,6.0
11.0,Resistencia,10.0,1.0,2.0,7.0,4.0,21.0,5.0
