Province,Inhabitants,established,President,Party,Election
Milan,3156694.0,1754.0,Guido Podestà,The People of Freedom,2009.0
Brescia,1256025.0,1797.0,Daniele Molgora,Lega Lombarda,2009.0
Bergamo,1098740.0,1797.0,Ettore Pirovano,Lega Lombarda,2009.0
Varese,883285.0,1927.0,"Dario Galli , commissioner",Lega Lombarda,2007.0
Monza and Brianza,849636.0,2009.0,Dario Allevi,The People of Freedom,2009.0
Como,598988.0,1786.0,"Leonardo Carioni , commissioner",Lega Lombarda,2007.0
Pavia,548307.0,1786.0,Daniele Bosone,Democratic Party,2011.0
Mantua,415442.0,1797.0,Alessandro Pastacci,Democratic Party,2011.0
Cremona,363606.0,1786.0,Massimiliano Salini,The People of Freedom,2009.0
Lecco,340167.0,1995.0,Daniele Nava,The People of Freedom,2009.0
Lodi,227665.0,1995.0,Pietro Foroni,Lega Lombarda,2009.0
Sondrio,183169.0,1797.0,Massimo Sertori,Lega Lombarda,2009.0
