Tie no,Home team,Score,Away team,Attendance
1,Arsenal,2 – 1,Stoke City,36579.0
2,Notts County,1 – 2,Middlesbrough,13671.0
3,Manchester United,0 – 0,Exeter City,67551.0
replay,Exeter City,0 – 2,Manchester United,9033.0
4,Plymouth Argyle,1 – 3,Everton,20112.0
5,Leicester City,2 – 2,Blackpool,16750.0
replay,Blackpool,0 – 1,Leicester City,6938.0
6,Derby County,2 – 1,Wigan Athletic,14457.0
7,Sunderland,2 – 1,Crystal Palace,17536.0
8,Wolverhampton Wanderers,2 – 0,Millwall,12566.0
9,Yeading,0 – 2,Newcastle United,10824.0
10,Hull City,0 – 2,Colchester United,14027.0
11,Tottenham Hotspur,2 – 1,Brighton & Hove Albion,36094.0
12,Reading,1 – 1,Swansea City,13642.0
replay,Swansea City,0 – 1,Reading,7354.0
13,Birmingham City,3 – 0,Leeds United,25159.0
14,Hartlepool United,0 – 0,Boston United,5342.0
replay,Boston United,0 – 1,Hartlepool United,3653.0
15,Milton Keynes Dons,0 – 2,Peterborough United,4407.0
16,Oldham Athletic,1 – 0,Manchester City,13171.0
17,Chelsea,3 – 1,Scunthorpe United,40019.0
18,Cardiff City,1 – 1,Blackburn Rovers,14145.0
replay,Blackburn,3 – 2,Cardiff City,9140.0
19,Charlton Athletic,4 – 1,Rochdale,13955.0
20,West Ham United,1 – 0,Norwich City,23389.0
21,Sheffield United,3 – 1,Aston Villa,14003.0
22,Preston North End,0 – 2,West Bromwich Albion,13005.0
23,Rotherham United,0 – 3,Yeovil Town,5397.0
24,Burnley,1 – 0,Liverpool,19033.0
25,Bournemouth,2 – 1,Chester City,7653.0
26,Coventry City,3 – 0,Crewe Alexandra,7629.0
27,Watford,1 – 1,Fulham,14896.0
replay,Fulham,2 – 0,Watford,11306.0
28,Ipswich Town,1 – 3,Bolton Wanderers,20080.0
29,Portsmouth,1 – 0,Gillingham,14252.0
30,Northampton Town,1 – 3,Southampton,7183.0
31,Queens Park Rangers,0 – 3,Nottingham Forest,11140.0
32,Luton,0 – 2,Brentford,6681.0
