Round,Pick #,Player,Position,College
1.0,18.0,Reuben Gant,Tight end,Oklahoma State
2.0,27.0,Doug Allen,Linebacker,Penn State
3.0,70.0,Gary Marangi,Quarterback,Boston College
4.0,95.0,Carlester Crumpler,Running back,East Carolina
5.0,106.0,Gary Hayman,Wide receiver,Penn State
5.0,122.0,Tim Guy,Tackle,Oregon
8.0,203.0,Greg Hare,Quarterback,Ohio State
9.0,226.0,Brian Doherty,Punter,Notre Dame
10.0,241.0,Art Cameron,Tight end,Albany State
10.0,249.0,Don Calhoun,Running back,Kansas State
11.0,279.0,Rod Kirby,Linebacker,Pittsburgh
12.0,303.0,Dave Means,Defensive end,Southeast Missouri State
13.0,331.0,Ed Gatewood,Linebacker,Tennessee State
14.0,339.0,Phil Lamm,Defensive back,North Carolina
14.0,355.0,Phil Gurbada,Defensive back,Mayville
15.0,382.0,Ken Williams,Linebacker,Southwestern Louisiana
16.0,406.0,Sanford Qvale,Tackle,North Dakota State
17.0,434.0,Sal Casola,Kicker,Cincinnati
