Year,Chassis,Engine,Start,Finish,Team
1988.0,Lola T88/00,Ford Cosworth DFX,27.0,21.0,Curb Racing
1989.0,Lola T88/00,Buick,12.0,25.0,Granatelli Racing
1990.0,March 90P,Porsche,10.0,21.0,Porsche
1991.0,Lola T91/00,Chevrolet 265A,7.0,5.0,Hall/VDS Racing
1992.0,Lola T92/00,Chevrolet 265A,14.0,8.0,Hall/VDS Racing
1993.0,Lola T92/00,Ford XB,24.0,10.0,A.J. Foyt Enterprises
1994.0,Lola T94/00,Ford XB,10.0,10.0,A.J. Foyt Enterprises
2007.0,Dallara,Honda,24.0,30.0,Panther Racing
2008.0,Dallara,Honda,21.0,16.0,Roth Racing
2009.0,Dallara,Honda,28.0,19.0,Richard Petty / DRR
2010.0,Dallara,Honda,28.0,30.0,Richard Petty / Andretti Autosport
2011.0,Dallara,Honda,17.0,22.0,Richard Petty / Andretti Autosport
