Game,February,Opponent,Score,Record
53.0,1.0,Washington Capitals,4 - 3 OT,28-17-8
54.0,4.0,@ Montreal Canadiens,7 - 5,28-18-8
55.0,5.0,Minnesota North Stars,5 - 3,28-19-8
56.0,9.0,Winnipeg Jets,4 - 3,29-19-8
57.0,12.0,Edmonton Oilers,3 - 1,29-20-8
58.0,14.0,@ Philadelphia Flyers,3 - 1,29-21-8
59.0,17.0,Toronto Maple Leafs,10 - 6,29-22-8
60.0,18.0,@ Pittsburgh Penguins,5 - 3,30-22-8
61.0,20.0,New Jersey Devils,7 - 4,31-22-8
62.0,22.0,Philadelphia Flyers,6 - 4,31-23-8
63.0,25.0,@ Quebec Nordiques,7 - 2,32-23-8
64.0,27.0,Los Angeles Kings,6 - 4,33-23-8
