Country,Track,Length (m),Vertical Drop (m),Maximum Grade (%),Bobsleigh-skeleton curves
Austria,Igls,1220.0,98.1,14,14
Canada,Calgary,1475.0,121.48,15,14
Canada,Whistler,1450.0,152.0,10.5 (average),16
France,La Plagne,1507.5,119.0,8.29 (average),19
Germany,Altenberg,1413.0,122.22,15,18
Germany,Königssee,1306.0,117.0,10.35,13 (bobsleigh)/ 12 (skeleton)
Germany,Oberhof,1069.7,96.37,9.2 (average),15
Germany,Winterberg,1330.0,110.0,15 (9.8% average),14
Italy,Cortina d'Ampezzo (bobsleigh and skeleton only),1350.0,120.45,15.9,13
Japan,Nagano,1360.0,113.0,8.64 (average),14
Latvia,Sigulda,1200.0,111.5,9.3,16
Norway,Lillehammer,1365.0,114.3,15,16
Russia,Paramonovo,1600.0,105.0,15,19
Switzerland,St. Moritz,1722.0,130.0,15 (8.14 average),16
United States,Lake Placid,1455.0,107.0,9.8 (average),20
United States,Park City,1340.0,103.9,8.1 (average),15
